Gene,Transcript,UTR5_Length,UTR3_Length,CDS_Length,UTR5_GC_Content,UTR3_GC_Content,CDS_GC_Content,uATG_count,Transcript_FE,Translate_FE,CAI
BAIAP2L1,ENST00000005260,216,1870,1536,0.759259259259259,0.506951871657754,0.490885416666667,0,-6.4,-10.3,0.676660939074223
CACNG3,ENST00000005284,1202,938,948,0.615640599001664,0.475479744136461,0.520042194092827,9,-5.8,0,0.709845863127893
TMEM132A,ENST00000005286,153,252,3075,0.810457516339869,0.599206349206349,0.671869918699187,1,-11.8,-3.9,0.781824177762239
DVL2,ENST00000005340,283,524,2211,0.720848056537102,0.505725190839695,0.611035730438716,1,-3.7,-5.5,0.759617278389321
RPAP3,ENST00000005386,116,2256,1998,0.698275862068966,0.323581560283688,0.374874874874875,0,-7.4,-0.2,0.605861510193361
UPP2,ENST00000005756,194,1076,954,0.293814432989691,0.358736059479554,0.448637316561845,2,0,-2.8,0.667325408836695
PRSS21,ENST00000005995,42,114,945,0.761904761904762,0.517543859649123,0.592592592592593,0,-7.2,-10.2,0.717738991866913
HOXA11,ENST00000006015,72,1281,942,0.527777777777778,0.505074160811866,0.614649681528662,1,-4.5,-2.4,0.715206073630432
CX3CL1,ENST00000006053,111,2016,1194,0.657657657657658,0.571428571428571,0.635678391959799,0,-7.1,-1,0.742884867258787
CD79B,ENST00000006750,93,486,690,0.634408602150538,0.637860082304527,0.569565217391304,0,-8.6,-5.8,0.779407896443692
RHBDD2,ENST00000006777,135,572,1095,0.755555555555556,0.555944055944056,0.621917808219178,1,-17.3,-10.1,0.77215905632948
TSR3,ENST00000007390,107,197,939,0.785046728971963,0.563451776649746,0.680511182108626,0,-8.7,-9,0.746066326955365
OSBPL7,ENST00000007414,192,919,2529,0.661458333333333,0.613710554951034,0.604982206405694,1,-9.9,-12.7,0.777168843460151
NDUFAB1,ENST00000007516,66,180,471,0.742424242424242,0.388888888888889,0.511677282377919,0,-9,-4.7,0.621491823673697
YBX2,ENST00000007699,64,431,1095,0.828125,0.491879350348028,0.670319634703196,0,-8.6,-5.8,0.684661227473961
KRT33A,ENST00000007735,45,27,1215,0.555555555555556,0.555555555555556,0.608230452674897,0,-5.2,-3,0.846128076018295
TFAP2D,ENST00000008391,228,124,1359,0.37280701754386,0.370967741935484,0.52906548933039,0,-5.6,-1.4,0.663090161048591
CRY1,ENST00000008527,868,638,1761,0.671658986175115,0.280564263322884,0.45144804088586,3,-6,-12,0.655887481996811
PGLYRP1,ENST00000008938,44,85,591,0.772727272727273,0.541176470588235,0.624365482233503,0,-11.8,-1.2,0.755632675263054
CD9,ENST00000009180,51,431,687,0.725490196078431,0.292343387470998,0.510917030567686,0,-1.7,-5.9,0.773906101359563
CD74,ENST00000009530,2,88,891,0.5,0.625,0.599326599326599,0,-2,-2,0.805904080414924
DYRK4,ENST00000010132,142,135,1563,0.471830985915493,0.325925925925926,0.497760716570697,0,-2.4,-1.4,0.726438637993078
CPA1,ENST00000011292,150,77,1260,0.666666666666667,0.519480519480519,0.577777777777778,0,-7.9,-12.1,0.794945170143069
SYPL1,ENST00000011473,47,1300,780,0.74468085106383,0.311538461538462,0.442307692307692,0,-5,-2.9,0.656390593320849
RANBP9,ENST00000011619,59,864,2190,0.677966101694915,0.336805555555556,0.513698630136986,0,0,-12.8,0.60776447664217
CD4,ENST00000011653,258,1479,1377,0.608527131782946,0.540229885057471,0.541031227305737,0,-9.6,-3.9,0.728206240659245
PLEKHG6,ENST00000011684,148,360,2373,0.682432432432432,0.513888888888889,0.62031184155078,1,-10.7,-6.5,0.780171427345677
TSPAN9,ENST00000011898,161,3442,720,0.602484472049689,0.581929110981987,0.559722222222222,0,-14.9,-6.2,0.786358476513639
QPCTL,ENST00000012049,221,940,1149,0.583710407239819,0.51063829787234,0.633594429939077,1,-2.9,-13.9,0.717016435062752
PPP5C,ENST00000012443,103,506,1500,0.757281553398058,0.628458498023715,0.562,0,-7.9,-13.5,0.787345089076823
UBR7,ENST00000013070,236,2180,1278,0.661016949152542,0.43256880733945,0.456964006259781,0,-9,-4.3,0.691077928180753
MAP4K5,ENST00000013125,319,1494,2541,0.749216300940439,0.304551539491299,0.408894136166863,1,-6.1,-5.3,0.608118114175093
INMT,ENST00000013222,16,1751,792,0.5,0.483152484294689,0.590909090909091,0,-5.7,-8.1,0.778693024716345
GPRC5A,ENST00000014914,890,5398,1074,0.623595505617977,0.478140051871063,0.535381750465549,4,-0.5,-4.3,0.749467921642587
HEBP1,ENST00000014930,159,444,570,0.792452830188679,0.391891891891892,0.524561403508772,0,-2.4,-3,0.716187528543223
COX15,ENST00000016171,51,1072,1233,0.568627450980392,0.414179104477612,0.523925385239254,0,-7.4,-1.5,0.668942772959873
MS4A12,ENST00000016913,57,306,804,0.43859649122807,0.330065359477124,0.460199004975124,0,0,-4.2,0.666491972494672
RGPD5,ENST00000016946,158,1797,5298,0.721518987341772,0.353923205342237,0.402793506983767,0,-13,-10.5,0.608568444905369
XYLT2,ENST00000017003,49,860,2598,0.836734693877551,0.551162790697674,0.63356428021555,0,-15.7,-3.3,0.773635627809319
SCTR,ENST00000019103,268,274,1323,0.791044776119403,0.583941605839416,0.558578987150416,2,-9.7,-4.5,0.772469172578853
RALBP1,ENST00000019317,223,2177,1968,0.582959641255605,0.485530546623794,0.472560975609756,2,-3.1,-9.3,0.705987079374812
SYT13,ENST00000020926,112,3751,1281,0.8125,0.42495334577446,0.608118657298985,0,-14.6,-15,0.765474331834522
VDAC3,ENST00000022615,68,435,852,0.485294117647059,0.409195402298851,0.438967136150235,0,-8.2,-1.4,0.681414662008741
SLC7A9,ENST00000023064,192,105,1464,0.625,0.314285714285714,0.530054644808743,0,-3.7,-3.1,0.718764108248972
SLC45A4,ENST00000024061,308,841,2397,0.646103896103896,0.51961950059453,0.622027534418022,2,-7.9,-4.8,0.776687497903638
RB1CC1,ENST00000025008,524,1326,4785,0.620229007633588,0.291101055806938,0.372204806687565,3,-2.6,-1.4,0.584856943537798
AKAP11,ENST00000025301,175,4039,5706,0.468571428571429,0.330774944293142,0.400280406589555,1,-9.8,-0.4,0.619666492691579
B4GALT7,ENST00000029410,111,652,984,0.846846846846847,0.565950920245399,0.633130081300813,1,-8.5,-10,0.792031093047114
FAM13B,ENST00000033079,452,2265,2748,0.570796460176991,0.362913907284768,0.398471615720524,3,0,-5.8,0.633209862052763
CHPF2,ENST00000035307,1513,146,2319,0.615333773959022,0.445205479452055,0.623113410952997,10,-10.4,-1.5,0.738975200165456
LRRC7,ENST00000035383,30,356,4614,0.533333333333333,0.314606741573034,0.446900736887733,0,-7.3,-1.9,0.634916681748339
GABARAPL2,ENST00000037243,136,512,354,0.75,0.34765625,0.471751412429379,0,-7.7,-4.8,0.731672945512482
MYOC,ENST00000037502,72,508,1515,0.597222222222222,0.415354330708661,0.547854785478548,0,-3.2,-7.2,0.745889815087643
FAM136A,ENST00000037869,79,1314,417,0.822784810126582,0.410197869101979,0.551558752997602,1,-14,-6.5,0.803887862654258
NSMAF,ENST00000038176,213,602,2754,0.812206572769953,0.355481727574751,0.442628903413217,1,-9.9,-1.4,0.65390143805382706
OTC,ENST00000039007,152,368,1065,0.440789473684211,0.309782608695652,0.44131455399061,0,-2.2,-2.2,0.64215777440672
TTC17,ENST00000039989,14,1029,3426,0.857142857142857,0.398445092322643,0.464098073555166,0,-8.3,-1.6,0.64719330370848
HOXC8,ENST00000040584,179,981,729,0.737430167597765,0.437308868501529,0.547325102880658,1,-4.3,-2.1,0.719334646144902
MRI1,ENST00000040663,40,585,1110,0.65,0.504273504273504,0.646846846846847,0,-4.4,-4.7,0.780039080345987
BOD1L1,ENST00000040738,136,1273,9156,0.698529411764706,0.329143754909662,0.442223678462211,0,-7.7,-7.7,0.638073741679319
TARBP1,ENST00000040877,0,264,4866,NA,0.265151515151515,0.485819975339088,0,-9.2,-9.2,0.631777690436118
FAM65A,ENST00000042381,68,323,3660,0.735294117647059,0.520123839009288,0.609562841530055,1,-11.7,-2.7,0.74556779810285
RTN4R,ENST00000043402,439,296,1422,0.83371298405467,0.587837837837838,0.674402250351617,2,-7.7,-6.1,0.771873804080732
PSMA4,ENST00000044462,150,3475,786,0.52,0.42158273381295,0.400763358778626,1,-9,-5.3,0.62244952197174
ZPBP,ENST00000046087,70,87,1056,0.757142857142857,0.206896551724138,0.423295454545455,0,-7,-6.8,0.60014996252194
CTNS,ENST00000046640,593,1169,1104,0.63575042158516,0.57912745936698,0.519021739130435,2,-12.5,0,0.743601724965246
LCP2,ENST00000046794,616,2460,1602,0.503246753246753,0.377235772357724,0.516229712858926,7,-3.9,-7.6,0.705430466709241
GOPC,ENST00000052569,240,2985,1365,0.691666666666667,0.336348408710218,0.467399267399267,0,-4,-9.9,0.630882413104219
TNFRSF17,ENST00000053243,218,221,555,0.431192660550459,0.352941176470588,0.443243243243243,1,0,-3.9,0.623461619027725
MRPS10,ENST00000053468,16,1488,606,0.75,0.411962365591398,0.415841584158416,0,-10.6,-8.8,0.592752853837183
VAMP3,ENST00000054666,115,1787,303,0.695652173913043,0.401790710688304,0.471947194719472,0,-3.4,-2.4,0.692577541161529
UTS2,ENST00000054668,0,0,420,NA,NA,0.428571428571429,0,-1.7,-1.7,0.61276077527248
RCN1,ENST00000054950,293,1283,996,0.778156996587031,0.360093530787217,0.512048192771084,1,-4.7,-8.9,0.736611815229441
RFC2,ENST00000055077,61,569,1065,0.754098360655738,0.541300527240773,0.52112676056338,0,-6.8,-4.4,0.747532724685205
PPP1R3F,ENST00000055335,16,1005,2400,0.875,0.478606965174129,0.67,0,-14,-7.5,0.709208961123855
ARHGEF5,ENST00000056217,174,576,4794,0.747126436781609,0.5,0.567584480600751,1,-3.8,-10.2,0.722422485757031
NFE2L3,ENST00000056233,259,1342,2085,0.772200772200772,0.35096870342772,0.501199040767386,0,-6.7,-7.5,0.649073665278573
TNIP3,ENST00000057513,215,1223,978,0.334883720930233,0.414554374488962,0.44478527607362,3,-1.7,-2.2,0.644826559730909
SIKE1,ENST00000060969,70,1496,624,0.657142857142857,0.316844919786096,0.482371794871795,0,-10.2,-6.7,0.656029017896919
TLL1,ENST00000061240,647,3019,3042,0.684698608964451,0.333222921497185,0.444115713346483,4,-4.2,-2.3,0.675899818822145
NNAT,ENST00000062104,117,934,246,0.64957264957265,0.561027837259101,0.609756097560976,0,-10.3,-5.6,0.701004961760811
CBLN4,ENST00000064571,1301,1117,606,0.650269023827825,0.309758281110116,0.541254125412541,6,-12.5,-10.5,0.653551543382798
CLDN11,ENST00000064724,202,1343,624,0.752475247524752,0.409530900967982,0.623397435897436,0,-8.6,-14,0.797890624812046
RELT,ENST00000064780,261,1981,1293,0.789272030651341,0.553760726905603,0.644238205723125,0,-12.5,-3,0.758731275733472
CDC27,ENST00000066544,94,3232,2475,0.670212765957447,0.332920792079208,0.397979797979798,1,-5.2,-5.9,0.592401014884464
ADCK2,ENST00000072869,178,318,1881,0.797752808988764,0.50314465408805,0.596491228070175,1,-20.1,-7.5,0.735655774334447
SLC2A3,ENST00000075120,241,2183,1491,0.485477178423237,0.42647732478241,0.500335345405768,3,-2.7,-1.4,0.701435670829988
STYK1,ENST00000075503,521,1205,1269,0.54126679462572,0.375103734439834,0.508274231678487,4,-3.4,-5.2,0.685695335639054
GNA11,ENST00000078429,242,2825,1080,0.909090909090909,0.614159292035398,0.600925925925926,0,-13.3,-5.1,0.845578794354802
CREB3L3,ENST00000078445,147,1085,1386,0.639455782312925,0.574193548387097,0.607503607503608,1,-9,-2,0.750627763207011
HDAC7,ENST00000080059,0,1119,2976,NA,0.571045576407507,0.642137096774194,0,-5.2,-5.2,0.756400830254779
MRPS35,ENST00000081029,71,845,972,0.732394366197183,0.358579881656805,0.433127572016461,0,-7.6,-6.6,0.62566157656982
APPBP2,ENST00000083182,288,4432,1758,0.694444444444444,0.356272563176895,0.410125142207053,0,-8.5,-2.3,0.636361826240446
CA11,ENST00000084798,680,177,987,0.592647058823529,0.502824858757062,0.602836879432624,4,-3.4,-8.6,0.764205650236409
CD22,ENST00000085219,66,658,2544,0.606060606060606,0.572948328267477,0.545204402515723,1,-7.3,0,0.723585055025116
GSC2,ENST00000086933,0,415,618,NA,0.631325301204819,0.757281553398058,0,-8.8,-8.8,0.664591222952631
CECR5,ENST00000155674,43,510,1182,0.558139534883721,0.513725490196078,0.597292724196278,0,-8.4,-4.1,0.754832057170573
KCNQ1,ENST00000155840,108,1106,2031,0.814814814814815,0.610307414104882,0.642048252092565,0,-13.6,-4.3,0.765105594818487
TRPM5,ENST00000155858,9,422,3498,0.777777777777778,0.637440758293839,0.637793024585477,0,-6.1,-6.1,0.811175552867714
TRIB2,ENST00000155926,1419,1940,1032,0.61169837914024,0.413917525773196,0.543604651162791,5,-8.8,0,0.71983450517547
OTUD5,ENST00000156084,61,963,1716,0.737704918032787,0.548286604361371,0.616550116550117,0,-13.4,-1.3,0.708935198071139
GPKOW,ENST00000156109,79,232,1431,0.582278481012658,0.439655172413793,0.589797344514326,0,-1.9,-6.3,0.734877027621134
AQR,ENST00000156471,226,5010,4458,0.610619469026549,0.379840319361277,0.4185733512786,1,-2.7,-10.6,0.645262629326074
ST6GALNAC1,ENST00000156626,200,567,1803,0.555,0.419753086419753,0.554631170271769,1,-12.1,-7.1,0.742011503953344
PSMC4,ENST00000157812,198,136,1257,0.595959595959596,0.507352941176471,0.550517104216388,2,-4,-3.4,0.794450328876821
FNDC8,ENST00000158009,115,298,975,0.547826086956522,0.630872483221476,0.536410256410256,1,-1.9,-1.2,0.738891893166916
ACAP1,ENST00000158762,206,83,2223,0.66504854368932,0.734939759036145,0.601889338731444,0,-6.6,-5.6,0.75565882717392
DERL2,ENST00000158771,56,3433,720,0.732142857142857,0.376929799009613,0.451388888888889,1,-3.5,-6.3,0.648090537570249
NOX3,ENST00000159060,103,232,1707,0.436893203883495,0.344827586206897,0.499707088459285,0,-1.4,-4.5,0.67447984367821
ANO8,ENST00000159087,159,294,3699,0.786163522012579,0.445578231292517,0.669370100027034,1,-8.2,-6.7,0.760059294352213
KDM4B,ENST00000159111,218,2084,3291,0.697247706422018,0.565259117082534,0.63962321482832,0,-8.5,-5.3,0.782707288734157
ICAM3,ENST00000160262,209,81,1644,0.655502392344498,0.567901234567901,0.616180048661801,0,-5.1,-3.4,0.709379899139759
CAMSAP3,ENST00000160298,101,38,3750,0.861386138613861,0.815789473684211,0.6728,0,-8.7,-22,0.734482323230634
CTTNBP2,ENST00000160373,92,886,4992,0.695652173913043,0.27313769751693,0.487379807692308,0,-11.7,-3.8,0.662019977325953
ACTL6B,ENST00000160382,107,149,1281,0.747663551401869,0.469798657718121,0.594847775175644,0,-6,-3.1,0.799232026875731
KIF22,ENST00000160827,40,75,1998,0.625,0.453333333333333,0.585585585585586,1,-3.9,-7.8,0.708387304516699
PRSS22,ENST00000161006,66,366,954,0.727272727272727,0.595628415300546,0.647798742138365,0,-8.5,-9.6,0.777167557241651
CEACAM1,ENST00000161559,135,1803,1581,0.614814814814815,0.425402107598447,0.512333965844402,0,-13.2,-9.5,0.684112417931898
YTHDC2,ENST00000161863,213,1810,4293,0.629107981220657,0.325966850828729,0.421616585138598,1,-8.8,-4,0.619150952762683
TMEM161A,ENST00000162044,65,315,1440,0.692307692307692,0.625396825396825,0.634027777777778,0,-4.2,-4.9,0.777236341690114
BCAR1,ENST00000162330,127,481,2613,0.858267716535433,0.607068607068607,0.663605051664753,0,-12.8,-2.6,0.778135917966274
FOXJ2,ENST00000162391,1145,2653,1725,0.648034934497817,0.422163588390501,0.567536231884058,1,-9.2,-8.4,0.754332143676452
TNFRSF1A,ENST00000162749,300,555,1368,0.59,0.545945945945946,0.58406432748538,2,-3.3,-11,0.734179935759051
GOLGA5,ENST00000163416,256,517,2196,0.6796875,0.303675048355899,0.432149362477231,0,-9.2,-3.9,0.64300059447779
CELSR3,ENST00000164024,281,1736,9939,0.804270462633452,0.528801843317972,0.623704598048093,3,-5.8,-7.7,0.735217935295273
PPP2R5B,ENST00000164133,622,629,1494,0.707395498392283,0.583465818759936,0.578313253012048,3,-7.9,-0.7,0.789177446154283
PYGM,ENST00000164139,399,270,2529,0.629072681704261,0.577777777777778,0.572953736654804,1,-3.6,-5.9,0.801896231098954
BCL3,ENST00000164227,244,429,1365,0.799180327868853,0.557109557109557,0.688644688644689,0,-13.2,-9.5,0.740159293555387
PIGB,ENST00000164305,291,216,1665,0.615120274914089,0.310185185185185,0.407207207207207,2,-1.4,-6,0.622148739865291
PDZD4,ENST00000164640,192,1187,2310,0.770833333333333,0.606571187868576,0.650649350649351,1,-4.1,-5,0.806706975501922
PRLH,ENST00000165524,0,0,264,NA,NA,0.670454545454545,0,-6.4,-6.4,0.832950432076419
REEP1,ENST00000165698,144,3107,606,0.819444444444444,0.391696169938848,0.523102310231023,0,-11.1,-5.8,0.691162045490408
EPHA8,ENST00000166244,72,1853,3018,0.888888888888889,0.606583917970858,0.65142478462558,0,-10.5,-16.3,0.790511717754198
TRIP13,ENST00000166345,356,1017,1299,0.792134831460674,0.368731563421829,0.485758275596613,1,-7.4,-11.9,0.701982754862472
VASH1,ENST00000167106,633,3997,1098,0.590837282780411,0.565674255691769,0.622040072859745,3,-5.9,-1.4,0.7832992693665
KRT14,ENST00000167586,87,156,1419,0.563218390804598,0.596153846153846,0.608879492600423,0,-0.8,-3.8,0.851711841481039
KRT20,ENST00000167588,42,420,1275,0.547619047619048,0.352380952380952,0.487843137254902,0,-4.4,-5.3,0.684029891391745
HSD17B10,ENST00000168216,28,146,786,0.714285714285714,0.520547945205479,0.581424936386768,0,-4,-7.6,0.70979948988744
FGF4,ENST00000168712,319,2293,621,0.764890282131661,0.423898822503271,0.689210950080515,1,-6.5,-13.4,0.716218520741685
NMRK2,ENST00000168977,290,143,693,0.710344827586207,0.573426573426573,0.613275613275613,1,-4.5,-7,0.797471246359227
ST6GAL1,ENST00000169298,674,2750,1221,0.626112759643917,0.474181818181818,0.497133497133497,6,-10.2,-0.2,0.749506821798416
TIMM21,ENST00000169551,298,2050,747,0.479865771812081,0.39609756097561,0.44712182061579703,6,-4.1,-0.4,0.624676669322243
BPIFB2,ENST00000170150,195,326,1377,0.605128205128205,0.558282208588957,0.593318809005083,0,-2.9,-7.5,0.78106679645313
REXO1,ENST00000170168,105,820,3666,0.895238095238095,0.653658536585366,0.670485542825968,0,-11.7,-4.5,0.768596269357613
MKRN2,ENST00000170447,137,1460,1251,0.802919708029197,0.4,0.520383693045564,1,-11.4,-0.7,0.744494166072121
GPATCH1,ENST00000170564,314,382,2796,0.671974522292994,0.37696335078534,0.492131616595136,4,-4.1,-2.9,0.671750749477583
KEAP1,ENST00000171111,548,532,1875,0.633211678832117,0.522556390977444,0.617066666666667,3,-9.6,-5.3,0.808445025175574
TNS1,ENST00000171887,453,4670,5208,0.640176600441501,0.526766595289079,0.602534562211982,3,-15.3,-1.4,0.747170306770602
NGFR,ENST00000172229,125,2008,1284,0.776,0.592629482071713,0.668224299065421,0,-13.4,-7.8,0.779499247261941
NTN1,ENST00000173229,107,4032,1815,0.766355140186916,0.60515873015873,0.659504132231405,0,-7.2,-6.5,0.771061074951138
ISOC1,ENST00000173527,16,1027,897,0.6875,0.330087633885102,0.534002229654404,0,-4.9,-9.4,0.607656557681157
TRO,ENST00000173898,112,239,4296,0.580357142857143,0.397489539748954,0.543761638733706,0,-3.5,-2.7,0.71158974856211
MNT,ENST00000174618,406,2841,1749,0.637931034482759,0.584301302358325,0.657518582046884,0,-12.3,-5.9,0.749262079319166
LAPTM4A,ENST00000175091,508,555,702,0.586614173228346,0.32972972972973,0.448717948717949,1,-2.8,-3.7,0.711096364355304
ADAM7,ENST00000175238,83,1020,2264,0.481927710843373,0.364705882352941,0.413427561837456,0,-3.8,-4.1,0.648428394277156
PTPN18,ENST00000175756,101,2185,1383,0.811881188118812,0.537299771167048,0.637020968908171,0,-10.2,-10.3,0.714279575041582
DRD4,ENST00000176183,12,103,1260,1,0.611650485436893,0.73968253968254,0,-6.8,-9.3,0.732463358480533
SCT,ENST00000176195,0,0,366,NA,NA,0.715846994535519,0,-7.4,-7.4,0.72337203664268
STK10,ENST00000176763,344,2809,2907,0.787790697674419,0.501601993592026,0.579979360165119,0,-11.3,-7.9,0.804636019769237
ALPK1,ENST00000177648,200,602,3735,0.375,0.385382059800664,0.473895582329317,3,-4.1,-0.8,0.662941702859522
TBX21,ENST00000177694,211,753,1608,0.786729857819905,0.474103585657371,0.629353233830846,0,-5.3,-9.8,0.742739058406058
CA12,ENST00000178638,441,4907,1065,0.675736961451247,0.474424291828001,0.557746478873239,3,-5.1,-6.7,0.757755089409394
MAP2K5,ENST00000178640,627,373,1347,0.666666666666667,0.581769436997319,0.4543429844098,1,-1.3,-2,0.630014609836572
TIGAR,ENST00000179259,67,1902,813,0.805970149253731,0.388538380651945,0.426814268142681,0,-7.9,-2.2,0.610692135290242
FGF20,ENST00000180166,149,903,636,0.530201342281879,0.311184939091916,0.567610062893082,0,-6.6,-4.6,0.696375150170281
MTMR7,ENST00000180173,35,1832,1983,0.828571428571429,0.323144104803493,0.468986384266263,0,-9.2,-6.1,0.696035276926392
CPB2,ENST00000181383,17,428,1272,0.411764705882353,0.343457943925234,0.422169811320755,0,-1.7,-7.5,0.631631467796762
CDK13,ENST00000181839,605,2154,4539,0.714049586776859,0.334261838440111,0.521921128001762,2,-14.9,-8.1,0.644647007910876
TSPAN32,ENST00000182290,137,218,963,0.64963503649635,0.518348623853211,0.631360332294912,2,-2.6,-6,0.753433669334535
FAR2,ENST00000182377,268,279,1548,0.43283582089552203,0.354838709677419,0.452196382428941,2,-3.6,-2.1,0.691780961997723
TRAM2,ENST00000182527,0,5795,1113,NA,0.491630716134599,0.518418688230009,0,-5.1,-5.1,0.736288145577569
CLDN18,ENST00000183605,226,2508,786,0.548672566371681,0.415869218500797,0.559796437659033,2,-5.2,-4.1,0.776000549692329
NDUFB4,ENST00000184266,51,230,390,0.607843137254902,0.352173913043478,0.482051282051282,0,-7.1,0,0.662356957871376
HEATR6,ENST00000184956,17,369,3546,0.647058823529412,0.422764227642276,0.483643542019177,0,-3.2,-2.4,0.639006142140305
ERLEC1,ENST00000185150,131,850,1452,0.694656488549618,0.332941176470588,0.430440771349862,0,-8.5,-5.2,0.642905146826771
TMEM131,ENST00000186436,229,759,5652,0.755458515283843,0.35836627140975,0.450813871196037,1,-4.3,-8,0.605036911380296
ARPP21,ENST00000187397,456,538,2439,0.449561403508772,0.328996282527881,0.504715047150472,13,-5.4,-3.5,0.682459400843684
TMEM38A,ENST00000187762,91,1658,900,0.879120879120879,0.528347406513872,0.588888888888889,0,-14.5,-12.7,0.774477754519016
ZNF222,ENST00000187879,162,80,1356,0.524691358024691,0.2625,0.421828908554572,1,-0.4,-2.9,0.674725214508634
ACTR6,ENST00000188312,765,508,1191,0.524183006535948,0.311023622047244,0.361041141897565,6,-10,-6.4,0.626377307260043
SLC25A3,ENST00000188376,354,469,1086,0.65819209039548,0.29637526652452,0.500920810313076,0,-12,-2.5,0.688275522829782
FAP,ENST00000188790,208,289,2283,0.399038461538462,0.314878892733564,0.395094174332019,0,0,0,0.635036280900937
DMRT3,ENST00000190165,38,726,1419,0.736842105263158,0.378787878787879,0.615221987315011,0,-7.7,-7.8,0.700073099683782
WISP2,ENST00000190983,146,504,753,0.643835616438356,0.563492063492063,0.686586985391766,0,-17.5,-0.5,0.784969999400537
GAL3ST2,ENST00000192314,131,42,1197,0.732824427480916,0.785714285714286,0.670843776106934,0,-3,-7,0.783852030754962
UHRF1BP1,ENST00000192788,171,5076,4323,0.748538011695906,0.419621749408983,0.517464723571594,1,-8.1,-9.6,0.7201252849788
OSTM1,ENST00000193322,86,3376,1005,0.779069767441861,0.321090047393365,0.503482587064677,0,-11.8,-15.1,0.645361377247245
IMPG2,ENST00000193391,188,4423,3726,0.351063829787234,0.3574496947773,0.449006977992485,2,-0.5,0,0.665893262492423
ACTN1,ENST00000193403,384,716,2679,0.703125,0.405027932960894,0.575214632325495,3,-5.9,-2.9,0.827779110672561
KIAA0141,ENST00000194118,87,568,1548,0.67816091954023,0.494718309859155,0.585917312661499,0,-11.2,-6.8,0.717537187194589
SLC13A1,ENST00000194130,40,1987,1788,0.45,0.299446401610468,0.42841163310962,0,-2.2,-1.2,0.630069495616839
PCDHB4,ENST00000194152,200,1237,2388,0.445,0.281325788197251,0.54857621440536,1,-0.8,-3.3,0.684414815587235
PCDHB2,ENST00000194155,213,1516,2397,0.549295774647887,0.344327176781003,0.566124322069253,0,-1.1,-3.9,0.678210911360982
HSPB11,ENST00000194214,390,90,435,0.733333333333333,0.233333333333333,0.388505747126437,0,-7.3,-2.9,0.638114509682841
STRADB,ENST00000194530,365,671,1257,0.665753424657534,0.359165424739195,0.431185361972951,2,-8.2,-8.6,0.627249362943883
PLOD1,ENST00000196061,27,729,2184,0.740740740740741,0.558299039780521,0.593864468864469,0,-9.7,-7,0.803891525816781
OXCT1,ENST00000196371,161,1664,1563,0.720496894409938,0.364182692307692,0.46001279590531,0,-13.1,-7.6,0.640284826597573
ZNF324,ENST00000196482,94,1244,1662,0.723404255319149,0.553858520900322,0.651022864019254,0,-12.9,-6.6,0.745784373686615
ZNF416,ENST00000196489,223,553,1785,0.699551569506726,0.466546112115732,0.471708683473389,1,-6.9,-7,0.678581437225264
