gene,Length,RNA.NSC.mean.tpm,RNA.siP.mean.tpm,log2FoldChange.rna,pvalue
OR2J1,1273,0.06636136979847566,0.07670544693686733,0.008033457124601474,0.12418388089291617
OR5AR1,1026,0.09849218161470534,0,-0.009786137914727575,0.6388438592736047
CASP12,1685,0.050135325669709,0.09556527537484832,0.00972652420267929,0.678754528977822
PNLIPRP2,1456,0.05802062070979366,0,-0.009786137914727561,0.04455814258071298
AKR7L,1240,9.086121036830217,6.560489499845221,-0.29926350788396183,0.442820899036964
TRGC1,2730,0,0.058984428207553,0.02199407929371799,0.8574438676177341
TRAC,976,0.16030197607634733,0.24829979354527268,0.022993678172505885,3.7704062910828046e-7
IGHA1,1112,0.07596944582145633,0.14480889299156433,0.00972652420267929,0.03268748623108211
IGHD,1678,0.180666826585258,0.25011979258871936,0.02715885980079373,0.2468847343852128
IGHA2,1071,0.09435385465610434,0.2262750686276247,0.04456838943557725,0.08186506772624497
IGHE,1412,0.07156726511096867,0.057587188026605,0.008035988642000919,0.8964709930844398
IGHG4,1119,0.09030650432233034,0,-0.009786137914727575,0.9193109472720866
IGHG2,1132,0.22748030652579765,0.14225043198464635,-0.05198702706378959,0.0813691837474286
IGHG3,1268,0.133246094248359,0,-0.02567618037286734,3.546132986452585e-4
IGHG1,2619,0.18659409587636908,0.27210351806634897,0.05513730675495565,0.0032525206287467795
IGLC3,462,0.21872939033915065,0,-0.009786137914727575,0.006773989549272337
IGLV4-60,362,0,0.8896546353956866,0.05055051408672074,0.006785925035748241
IGHV1-18,410,0.24647067886996998,0,-0.009786137914727575,0.0330862915681653
IGLV9-49,409,0.24707329666671798,0,-0.009786137914727575,0.1497753411365516
IGHV1-2,417,0.17260600694737535,0,-0.00978613791472759,2.9627942471244077e-4
IGKV1D-43,532,0.18994920739978902,0.183545176598933,0.00845793111896515,0.8908341517181967
IGKV5-2,408,0,0.239328514584883,0.021994079293717998,0.41982678931863965
IGLV3-21,602,0,0.26748752326680997,0.02199407929371799,0.7037838153085132
IGKV1OR2-108,353,0,0.45616852409807335,0.02199407929371799,0.17984013162702914
IGLV3-10,386,0,0.21065572407659702,0.02199407929371799,0.5649734428909321
IGLV5-52,379,5.000472939624083,3.0392361746642003,-0.19133487383865713,5.15901236829502e-4
IGLV4-3,403,0.209622887725706,0,-0.009786137914727561,0.8277031587160044
IGLV2-23,502,0,0.19451401185384934,0.021994079293717998,0.3461419325640318
IGLV7-43,385,0.43884687664135,0.2536260622094347,-0.012800724142434583,0.002524687995388628
IGLV3-1,398,0,0.40459168092115333,0.02199407929371799,0.24376958829434772
IGLV1-40,407,0,0.19978650981220267,0.02199407929371799,0.00377819350201298
IGKV1-17,378,0.22348683532661265,0,-0.009786137914727561,0.9128359424730014
IGKV3-20,400,0,0.24411508487658065,0.021994079293717998,0.9874753863587656
IGKV1-5,532,0,0.183545176598933,0.021994079293717998,0.9325399036040306
IGKV1-27,382,0.264536592504418,0,-0.009786137914727575,0.8093595345528976
IGHV3-74,587,0.14391486159022068,0.27432280921059565,0.00972652420267929,0.2668273050004278
IGHV3-64,431,0.16699931530639334,0.22655692331933233,0.007740658039651725,0.5955783027645445
IGHV1-45,411,0.24587099351992134,0,-0.009786137914727575,1.9679991541854614e-4
C20orf202,1604,0.10787386735270765,0.16226449684399333,0.044060265115814595,0.04369279353695754
VPS53,13106,6.0737105197535195,7.007840803549716,0.18701004104197785,0.00492364366729485
VPS13B,14094,1.2989071356487467,1.69796930179478,0.2998855569114321,0.45662931107772453
STRIP2,5115,3.4026845590365102,2.762071860346236,-0.1948063674990079,0.012564266819742737
ZFAND1,1798,7.828684914156391,6.208330491592274,-0.2078494489438934,0.9431078526689504
ABCB10,3857,11.380962811143831,6.010993164617163,-0.537945007935692,0.9416249022646902
B3GAT1,3522,0.04442212624943643,0.06880766567296599,0.022993678172505885,0.6166502830465129
PCNXL3,7105,30.237863136391137,26.2484978199777,-0.14628143659829768,0.01838194435041465
HNRNPL,2471,262.986222978669,254.21879917658268,-0.02987447034274818,0.598064078643356
AHCYL2,5056,5.909462880361474,5.728257555178317,-0.02665385175856936,0.4139558386996833
ECH1,1411,241.77516218193466,280.1436790602383,0.20434062801448774,0.006708720893692651
TMEM116,1446,6.951178111385727,3.60921586991928,-0.568348753546097,0.9719047591389961
C11orf84,2024,34.08070809311153,24.257542498916166,-0.38719872402765954,0.02813153311586532
IGSF9B,5050,0.6900106682974697,0.7505842495664773,0.05834910069824054,0.7332581152548248
SLC12A8,3447,0.3892130682008859,0.4888885894335764,0.10181593224158883,0.03717972613751668
ZNF678,8212,0.13065407445278066,0.547533978269909,0.809045854498897,0.4742052621121132
NIPAL2,4496,3.636144094083736,5.239762208684577,0.3463406164712878,0.7989004577121815
ST14,3539,0.47372091914691267,0.636661067262999,0.1484748829470092,0.12033333431558187
EPRS,5014,7.070699622391557,3.914666591590946,-0.6043111046220732,0.26162404203141654
LGALS4,1535,1.4250424176602634,0.6517456110321567,-0.2654747994158237,0.9531520189720418
RAB1B,2007,212.6053658010833,188.84749335698334,-0.1393722467584822,0.13876164277322786
LYST,13480,0.18207848135836377,0.40750961199807634,0.5177248887238021,0.2898337982181793
KCNJ5,5940,0.5626605582399707,0.373817789247411,-0.22346504865510614,0.03634434102871041
FAM196B,2999,0.11820175044917199,0.06511906232119534,-0.04100244282622285,0.03240470199834259
POT1,4080,0.936528924635296,1.5568162905117997,0.3852219312765362,0.5708691995775428
FAM153B,1641,0.22611944191364666,0.049550950331240996,-0.08194665666612518,0.3448017573945258
TMEM229A,2108,0.32639710493745194,0.046321647984170995,-0.20941978099924075,8.135265100224809e-4
LIMD2,756,5.712077944676011,6.1067763331775735,0.05186841549275209,0.2081688789019784
RPL22L1,2190,33.89985365102803,10.924222625184926,-1.2925316527145725,0.7759780795633009
AP4M1,1817,19.4017377287452,14.194498139976702,-0.3524992673600005,0.9895075453551844
MYRF,5745,21.240462603323532,30.72523799584913,0.47327787236643143,0.0082482089304144
HOXB13,3467,3.2088843214658733,2.530349586360687,-0.22213973734166478,0.19776129383940372
MAD1L1,2718,16.4034562005972,13.942070983867756,-0.13047851364501345,1.0347827220247424e-4
ATPAF2,1564,25.7490756928988,24.092574749583346,-0.04835811638728755,0.029104471008532994
GABRA6,2128,0.03969831943301667,0.038211047694345,0.0075922856362974625,0.7703347201408547
WBSCR16,2300,91.467365085871,87.12922216767026,-0.043410819246823655,0.01669030682705443
RP11-722G7.1,947,0.16521090670592933,0.25590348310473704,0.022993678172505885,0.01737920529235525
SELPLG,2256,0.10860212239840367,0.08656563293495767,-0.012787033557449892,0.9994606983153975
PPT2-EGFL8,4181,4.678797639238263,4.709045886698224,0.025604208083523042,0.038844803255895934
CEACAM3,1316,6.77499659588518,7.226745150312507,0.08503425953743093,0.8790476498486358
RPL8,1015,4824.02142323969,5557.7221505642565,0.19837282099815537,0.3106787532443821
GGPS1,2895,8.17316663718654,8.056028224547683,-0.0023986502356243868,0.8163889557661178
SLC15A3,2115,0.04777918597479333,0.23688610943614097,0.1431759993601371,5.958321307028791e-4
OR2T35,972,0,0.16566614095331234,0.02199407929371799,0.010801643637576762
ADAMDEC1,2348,0.03597871539755534,0.0346307962068,0.0075922856362974625,0.11057618060637274
OTUB2,3922,2.8510776471181534,4.311268564603654,0.4490234722209955,0.4447602905994127
CLMP,5072,0.2770991481726859,0.5012879822836873,0.2346888961159265,0.005804699519637584
RIBC2,1479,2.71076044146378,1.2067581098718356,-0.44635666165196025,0.02540809106987758
RPL5,1043,769.396488204358,711.661794666191,-0.07384080125328923,0.029789428484032675
PCDHGA7,3262,0.5347643783050753,0.5026821481174526,-0.01187560881817281,6.933415011239924e-4
ZKSCAN1,9418,5.913284283247459,6.523488235774863,0.13397252432309253,0.5815749886800429
CRTAM,2469,0.511468735884624,0.17725097869641593,-0.2462999460552031,0.08761281376252765
CEACAM5,2874,16.694856173143965,15.421599236925099,-0.06707849581267478,1.3646982476458495e-4
ARHGEF35,2431,0.8268434308811227,0.6992732053698444,-0.08896045204813008,0.2319331394955619
PRLR,11688,0.05377906495272907,0.09978210060596517,0.17897096346026023,8.256389298787846e-6
RECQL4,3809,23.392117253745237,8.856149688410769,-1.1453493321620933,0.08009166678552969
FJX1,2450,22.9630159903226,54.3162033801496,0.9105699236877284,0.7651322246284135
GLRA4,1795,0.10335988974381467,0,-0.03363700252320368,0.5809383678009022
EIF5B,5777,1.2886445229680932,1.3557721300916228,0.04182374686188471,0.003713181112464006
LIPT1,1289,1.74968439121702,2.3676430801354766,0.19802112168892452,5.158594966153962e-5
ABCC8,4921,0.5070012382689136,0.503790122147302,-8.772784323373572e-4,0.21585108415136697
NRXN2,6373,0.1503301620981883,0.238659033235508,0.15874467892751729,0.24281538095299152
SLAMF6,2743,0.3341146666991323,0.3481515538884267,-0.002898898028498493,0.06360292011236394
OBSCN,26925,0.4888278149716266,0.5675500799745751,0.16168994933094996,0.17677020879164254
PRKDC,13509,16.484582764181802,18.084992954128133,0.12041986299286674,0.8322288901098355
THRSP,1174,0.08607579074675266,0,-0.009786137914727575,0.001983655070541424
KCTD14,1691,0.5993234023451114,0.5079434703405293,-0.054112837964550506,0.004047094074882174
BCL9,6278,2.9161004737124934,3.64545426656654,0.24824980512290684,0.13949499100311227
HEG1,9156,3.8418375584338964,5.165706003003904,0.3550133633240279,0.14702846997578034
CH17-140K24.5,566,0.30570615412322094,0.17251949461242466,-0.017659345022996768,0.09092441586220605
PIH1D1,992,108.40952616084734,89.76494441337525,-0.1731019674838925,0.29485919367291435
C8orf76,1341,15.849010414811332,13.66281415205667,-0.1312733393812531,0.3362764858628575
PCDHB9,4415,0.3446538743029961,0.37401719177228926,0.012946531521510313,0.10804637472936408
BOD1,1562,70.34579152491473,60.774129294015495,-0.14696177662587756,0.08826898993644658
ENG,3059,0.033034644765180664,0.05264056521955534,0.01006889689228386,1.790858023150986e-5
TARBP1,5130,14.307524090305867,10.61101070642964,-0.33681950737605065,0.9564759978601595
GPR37L1,6588,0.7239437785781414,1.1253003205362377,0.29597030072995223,0.07131340587757853
SNRPD2,702,1902.1000971084734,1829.7889358984532,-0.03663253394935203,0.8479991354776423
SLC39A4,2174,15.837972353221835,16.806335480031034,0.08120969994577944,4.6576434689097103e-7
FBXO22,10725,10.245435848963501,19.5451342260083,0.6481307839825344,0.044859390351571944
CXorf36,4655,0.168641125632226,0.209346959556186,0.07932698924495774,0.02204476947393275
SORBS2,4622,0.0155726319552262,0.08097170301719257,0.10191000494028732,0.8240273264607634
C11orf68,1559,9.362412979215643,16.30236213518523,0.5441658424082259,0.8511546334960806
FLNA,8486,283.1193778663597,684.4787802758974,1.1096770050329128,0.6277294489306631
RPL23,2821,993.2404643461547,723.0716498395753,-0.2783674616796525,0.5759600449940356
MFSD4,4095,1.025701413466653,1.7259211328607897,0.41660475777464484,0.047935101402669225
MKLN1,11156,7.787712671630197,8.287911172259353,0.08948177691284885,0.8685097271993553
MT-ND1,956,617.3286789030636,437.42216790051634,-0.38838742853003494,4.679237501388846e-6
MT-ND2,1042,469.453245994136,329.499243884266,-0.3879186747614681,0.1716200724080924
MT-CO1,1542,15586.762029261736,11464.003687903734,-0.3831687105812118,0.25200116264846373
MT-CO2,684,6343.529529222499,5065.611823072857,-0.2760519787166178,0.9475926623764631
MT-ATP8,207,367.1285972173617,266.8116609116833,-0.36929964256716574,0.0010979941821866752
MT-ATP6,681,716.864982952835,528.8581064481527,-0.36418155485898435,0.9029053882937047
SYNE1,27748,0.586145051751639,1.1285876935922263,0.723840475475915,0.003910962728543933
CPSF1,4462,31.477100319965064,31.7150724705169,0.025599809995608482,0.2579188376711532
MT-CO3,784,4533.163351873976,3598.1029379200404,-0.29051742357012983,0.032363437499237806
MT-ND3,346,475.88761835797897,482.96806200731066,0.035666561374834885,0.10711093516575473
CTD-2561J22.3,472,0,0.3791507276360144,0.04982167997350103,0.15932532915236866
MYL5,666,13.256519509458366,6.253305813297561,-0.6270469100396664,0.9975794596927146
MT-ND4L,297,277.15506184246334,219.92635777176034,-0.2724443949405528,0.5055289066244377
CREBRF,7778,0.46136962499840733,0.540012016937461,0.13359318881475402,0.8837150477992386
MT-ND4,1378,712.857947546011,503.70587296556596,-0.4131817270672744,0.007998351308985248
MFSD7,2123,0.31820243916709606,0.403831219201753,0.043976422133923866,0.29452004624711614
KIF13A,5941,6.46106519990311,5.09886478051141,-0.2524836057086087,0.9295899519159675
RP11-435I10.4,1721,65.97588051439007,74.95903858414007,0.16941030290738304,0.2926456668096942
MT-ND5,1812,387.17819353733165,296.3442003181307,-0.312132798330046,0.1581904472923435
POLR3G,3251,1.5671878446211933,1.2523839787312572,-0.1496445649472534,0.19794143877540324
CCDC63,1993,0,0.16159306473318566,0.05055051408672074,0.0011752567712346635
CHAD,1789,0.047220807017026,0,-0.009786137914727561,0.04823831162319239
MT-ND6,525,518.4024455289613,252.36753309918868,-0.8391772672414063,0.9560477114030262
MT-CYB,1141,1127.122674369217,876.3377200060385,-0.2645468951736645,1.8895733384379702e-4
ZNF84,7162,0.698795416440365,0.7253009580680635,0.045478239601217926,0.0985843896733702
CLSTN3,4185,3.64219222407455,3.413833670100727,-0.058325849889108806,0.7835228926641441
CYP21A2,2182,0.12374382485958167,0.15581422202145667,0.026835348901634,0.00860000260777213
GDPD4,2533,0.03335097661013,0,-0.009786137914727561,0.004135194445852521
PIK3C2G,4764,0,0.05429754889950724,0.06150368085986262,0.0015832127006013808
TNXB,13132,0.164568583173493,0.21552871194497833,0.1293391142159774,0.022722622003178882
F5,7024,1.7845811149222868,1.1745001372151611,-0.40310480058120385,0.0016587120581035384
BEX4,1066,1.4896310256854033,1.9487634461168666,0.14856903024537632,5.045192438079066e-4
SASH1,7711,2.2189580855284468,2.3112971726483265,0.06727267979855339,0.13816384463429743
PAPPA2,9691,0.0399996861792924,0.0416229581577552,0.0024204761012978538,0.1278933248704576
TREH,2771,0.09292952255041603,0,-0.08139582259561186,0.044017808796674565
POMGNT1,2728,83.00481482360173,57.836994583386065,-0.3804566754732926,0.07685401516491837
MYBBP1A,4807,41.8601894813972,63.926859880849094,0.48248797685294476,0.0243143984124416
PPP1CC,2559,83.86486346786904,78.09740136227714,-0.06804831816547031,0.22062979720329035
RAD1,2341,18.096141231826365,16.745980541479067,-0.07158513347260417,0.9475108519573001
C6orf48,610,197.47200819197965,189.23243858393334,-0.040765403156064146,0.47971118539441504
PSMB3,773,641.7197880292925,627.0946872435403,-0.014204447647294005,0.991696959398722
SPNS2,3447,1.707060050737935,3.3160139063295673,0.45066555648572293,0.29818489636258866
IQGAP1,7233,7.809075914484244,10.238905505692962,0.33844889742320083,0.011254888115636503
FAM72B,2396,2.8510043906543134,1.090572640527725,-0.6175371675522039,0.0152236250397773
OTOP3,2363,0.164044417589303,0.17070168747643066,0.0024204761012978538,0.6015452157984318
PNLDC1,1816,0.039634749392651665,0,-0.00978613791472759,0.732657966395749
GPATCH2,5851,1.6084771240970868,1.3294309745729906,-0.13805611317432928,0.016928431447176838
TAC3,588,0.17185880669504702,0,-0.009786137914727575,0.766652959144471
LSM2,876,83.6396132801442,80.97875542897255,-0.02035780850573097,0.8346971023263796
SPNS3,2133,0.039605261956615,0.5833890489522088,0.35584454068690663,0.5381657590005096
EPHX4,1437,0.586761994918076,1.0029642583833274,0.15781157178769448,0.08629000356484495
FAM131B,4295,1.4189240946531667,2.964588688473943,0.6524670247839023,0.037625398159666965
TTC36,874,0,0.11172315097326367,0.021994079293717998,0.004120079441667335
SAMD5,6089,0.6971351763316397,0.62277043690117,-0.06506503367425574,0.6774355536144259
BBS9,4004,3.409960099561243,3.3612201784155364,-0.0081060344199426,0.01919176413456541
FBXO36,2810,1.77768778004657,1.5606980935822035,-0.10858288812146788,7.324989910146967e-4
LRP5,5159,96.56827292198153,82.59033511576067,-0.16212395509229588,0.027949246718816604
ATF5,2069,32.13514530335367,27.268685109178495,-0.140211414284295,0.10409484678635986
KLHL10,2057,0.098252774269993,0,-0.025676180372867372,0.7134100540757601
PCDHA10,5254,0.10303404850563398,0.0154764197741847,-0.13621263622279628,2.837709133310895e-4
MPV17L2,1408,35.4774726267726,19.465465761990234,-0.7137550981019686,0.06896655828473268
TREML4,2070,0.040810639494425004,0.0471719970776,0.008033457124601474,0.9353531465283661
PSD,3861,0.329522512176683,0.167652788393552,-0.17675807149311062,0.08480482097074421
FIBP,1248,362.0026896727624,332.25166624389567,-0.09005409178662097,4.922058974512033e-5
RP11-644F5.10,3382,15.4948752746792,13.701611618222666,-0.14109145935290937,0.7802918749495943
TYW3,3430,2.5647273828846067,2.4497768452428614,-0.013877926863416538,0.0339718861312497
CHMP7,3403,50.582174051004564,42.56546691612747,-0.200632070762255,0.4670635327517981
CTSW,1300,0.23319918077697166,0,-0.050763065479052794,0.04709619941917468
NCOR1,10720,5.67743843364767,6.524420324019243,0.15503975144527896,0.12551874917288694
DGAT1,3711,31.891487987661765,34.29825801115907,0.09958626586453463,0.4055293354684578
MRPL18,978,120.82928855064132,174.8263218057077,0.4122260538555929,0.7794435751839118
PIGL,1137,12.910181712852534,9.19469833855518,-0.30673651894864123,0.8438223826515358
FAM98A,2816,10.8070572639165,12.589705712939953,0.13339463337470378,0.8705271384520137
EIF3CL,3053,100.36617949658773,128.64745741582558,0.22808743614039997,0.1218256049051301
NEURL1B,6424,2.5985650555954964,2.6215943530523393,0.006034856823602133,0.6271292035957969
ZSWIM7,703,52.164098658076135,37.764782292304034,-0.3202753615904193,0.3158131788449367
METTL1,2066,43.29052501451853,32.50385031263514,-0.3280255765996137,0.14550277215381205
RP11-571M6.15,679,18.21214554042693,15.273308163985034,-0.1446233719362087,0.5023137666080434
AHCTF1,8633,2.5292143149892596,2.8390575716838433,0.13916039965018578,0.8060983627957993
ZNF737,2867,0.5287652488606853,0.5430196469079354,0.016923175351776256,2.5932326566387068e-8
PDE8A,3912,36.9925632395964,30.01563316274823,-0.2423968693634481,0.002932391674700745
ITGB5,4372,219.060162527407,285.6066082107347,0.31184031867002443,0.04773650611272512
ESRRA,2215,151.36744443825066,110.71247279002962,-0.3323052525296812,0.10345113382280098
SLC5A8,4178,0.16137408788663435,0.5358451018092304,0.3446650547546897,3.870776113296744e-4
TRMT112,1106,781.2654824388084,724.6190408360743,-0.07763491806806681,0.8924658867851909
DPF2,2799,26.570774084445002,46.3708150213854,0.6991810625819702,0.6082921532270901
HCFC2,5734,0.2795951846533797,0.5291175925805807,0.36459911896115815,0.09511382039739505
LRRC59,2910,230.913701387867,240.21153707933968,0.06578670126915967,0.014336308667238427
CHRM1,2964,0.12097189113491574,0.12021577493518333,-0.002874250591184846,0.08655732772588874
PCGF2,2604,9.2192073570548,8.873246341629839,-0.03164219936193267,0.03766939822653154
YWHAZ,3066,227.024673456032,253.762300257463,0.1270502933240026,1.0084305740398091e-4
CHFR,2648,25.833327027470133,36.87517555529904,0.4512060700173055,1.4701733624842657e-5
ARL6,1630,4.172151783685099,3.6356269535790235,-0.07469431784677182,0.7717386129837064
CAPN8,2427,0.6189311126764704,1.4330399102515656,0.42605187590888133,0.29657207232180693
ZSCAN25,4349,6.410658345529284,8.401269347272054,0.33391961718769525,0.03230232218334619
MPZL2,1370,0.187961829917666,0.059352634666836664,-0.05961291259959978,4.260182992713916e-4
ZDHHC16,1798,87.50959701633792,71.54114614577442,-0.2376514092406071,0.3268459725507832
GNAS,1866,480.80760769332136,465.2167540835713,-0.027867598890585075,0.27524260710837495
UBTD2,3301,9.43118828754958,4.921928541422914,-0.7130412464734137,0.11593003951886495
NLRP2,3576,54.052208210724764,33.274518471076696,-0.6005938520528199,0.09995300917968972
SERHL2,1374,0.5804408723976829,0.378853352165597,-0.06466457548255998,0.033940949198138656
OR6C4,1046,0,0.093351848901178,0.021994079293717998,0.05678329138356427
CSPG4,8290,0.977801394559318,1.6643663962561401,0.357951892057446,0.19139918823550683
NT5E,3548,10.043448565253629,14.621326108379465,0.4513434095137938,0.020092853825954732
ACER3,7378,6.13742665595191,5.783970175767723,-0.04732599712762101,0.09853936854243779
CAPN12,2762,0.7283344067014209,0.8905216533920269,0.07353890974112336,0.5338278116761692
XYLT2,3507,30.5080739766148,26.111072241883832,-0.17473900602291134,0.03474810728846079
GUK1,940,365.3483961111886,268.86623076674704,-0.29270318366292,0.04637030714533532
TCTN1,1885,27.293822546758665,28.866396415189502,0.07990313015190528,0.026255238281440874
TMPRSS4,3531,0.08507735441649013,0.16029292169185433,0.0720648694373571,0.733723917227731
BOP1,2303,153.109409395506,199.541903621795,0.3066010359644792,0.8457081819411966
SCX,999,1.08784326068471,0.4396710674494133,-0.18430849491779203,0.06196993317169431
RDH16,2409,0.9620462278475811,0.28226370481595536,-0.48298623062201945,9.003220194370619e-5
TEX40,917,2.4079484203037698,1.8059782896577934,-0.1216256646021582,0.5194850794232669
YY2,2741,0.5051141472257853,0.47769026867988434,-0.028926900916096787,0.30513876994404326
TNFRSF10A,2714,27.926342838930566,38.920104389161736,0.32454263849398146,0.3933545446693764
CAV1,2704,61.655540621802665,87.15562442027586,0.4109028383419557,0.5824254519254501
PTPRH,3877,4.836467223275444,8.397437529615575,0.5843995192627501,0.284055587311815
SDR9C7,1765,0.10511671506523934,0.13730345524089835,0.017155673033365536,0.0714759336866991
TM9SF4,3978,27.843241008355204,36.022628545025434,0.32889383824678503,0.0032852561632605447
C12orf29,2919,5.781133926574182,6.941287767188974,0.21383927767433886,0.7048437147395014
SYT5,2612,0.2851338769844423,0.3724775523558703,0.047739594535905705,0.34567252076704685
VARS,4312,50.324196440105034,73.09970367107856,0.3993278914662699,0.04435009413664015
TMPRSS13,1950,0.5381315790243474,0.05007488920545233,-0.24833652145114307,0.0053976617949427425
TENM2,8550,0.0380597399014543,0.06810844806444497,0.08029330744178874,0.26273385572965985
STK10,6060,9.657613824492897,10.8539494897856,0.15714530611168,8.057702299342412e-6
CRYBB3,867,0.28259098977024066,0.1857295144251667,-0.04050278975151923,0.690596808915774
ACKR3,2203,1.1927952898867076,2.6440631137042936,0.48484506648879894,0.12010332324702035
DEFB132,2121,0.047644025618429,0,-0.009786137914727575,0.5847297081745549
OR10A7,951,0,0.16932438381348,0.02199407929371799,2.726815189856709e-7
OOSP2,1633,0.11361359589108833,0.09860838273522333,-0.021283580087793724,3.099709063373282e-5
RP11-371E8.4,554,15.139216829211767,8.081534581094155,-0.520326665630096,0.06256838155497937
PECR,1853,30.167578078934767,22.4393342087172,-0.3188088221102505,0.02108712258869847
SPIDR,3988,23.144982413685568,16.1842041774903,-0.4280449021600364,0.7774900199883523
ZHX2,4624,3.433507924698896,5.587867367019496,0.5501642264976566,0.5186654642231923
SUSD3,1195,0.060231552215109334,0.134751036825623,0.009492275968907159,0.9381279941961705
MGST1,909,683.5486948820966,659.794722973833,-0.03112355001580128,0.8334937590974322
IL2,1029,0,0.09489410490829199,0.021994079293717998,0.9383276236798119
EGR1,3138,1.484944497630295,11.536939737222275,1.0894948981610024,0.11490373305068863
PPTC7,4996,5.4291793978706435,4.826309381815579,-0.13090867409980145,9.09297151847848e-5
CCDC181,2035,0.198629932848526,0.08794061102909034,-0.050094537550835004,0.004233280538078287
IRGM,1659,1.5014342723294132,0.7109033492336096,-0.2841325235735458,0.06956563926146146
NFAM1,5602,0.2570367061513217,0.387403012775736,0.1719557699976609,0.8487673434052192
ITGB2,2813,1.2849548554695593,1.1929128123279498,-0.0366855487014975,6.770244668857588e-4
RIF1,15003,1.22620654447229,1.0152358931120937,-0.18876379363650733,0.698373959767739
RP9,1121,20.180720371033363,25.2939931404003,0.2503690809264478,0.9850384903626944
GS1-259H13.13,830,18.306358495670267,33.85170829531043,0.5878314304414234,0.0010021778149746855
OR51F2,1029,0.08209720481385767,0,-0.009786137914727561,0.9561447077067609
CACNA1F,6070,0.045153651000070995,0.032173322553750335,-0.018218130193125518,0.6594195643638308
SLC6A8,3763,6.960477367034527,10.036063350515354,0.45228952265293887,0.04100637350328673
CNST,5126,4.263966063151909,2.634438703848183,-0.4752704955424113,0.07645136016184075
COMT,2437,135.38075006495933,148.838809948904,0.13738152092633216,0.2551744560089754
TSPAN31,1849,59.24643339345217,46.681196138057004,-0.2757370607471951,0.014090112775693817
PAFAH1B2,4198,63.49352398273237,74.80841168391974,0.22993305536214542,0.027046417814450118
GINS4,1158,23.651322970090902,13.690257106044767,-0.5997567595890814,0.07021355046784035
SFT2D2,11040,42.26689226983803,40.0055720972447,-0.05377047633097593,0.28856141113607997
WNT11,1930,0.6126486636645091,0.7232175329940059,0.07578993956400641,0.33672322280444944
DENND4B,5706,12.9538722268541,13.174172202144275,0.028288275137016355,1.408765789038077e-4
HCK,1806,0.102730344457446,0.223348885662683,0.06737697551627815,0.05904184726859396
TXNDC15,3548,54.02341954005294,44.9362226304443,-0.21476885863208675,0.2619949712711182
SMYD3,1548,14.106477376825103,26.10579053817497,0.6615770380972047,0.9983517147504049
NMBR,1354,0.06239145033490367,0,-0.009786137914727561,0.2859904793506252
CDK4,2076,277.93682862899163,225.65267428655702,-0.2509486846205724,0.04179166534132637
RTL1,4193,0.048200800542183335,0.06169175362681887,0.01506178923319086,0.973103868985162
SLC17A8,3983,0.04241929387570167,0,-0.02567618037286734,0.5316806593858094
SMNDC1,4341,6.3191460130151205,8.134186201744967,0.3013707456848337,0.01755155084887585
NT5C3A,1759,9.998311609359211,10.632450204193008,0.0864342125651607,0.4535181800837465
MAOB,2566,0.10681319624724513,0.39749021720672467,0.2546017798161813,0.001507251809059666
SPACA7,795,0.23337232967314137,0.36847559981370664,0.036960515798109814,0.9936335729770878
CAV2,3301,58.61661894174663,93.43506371850476,0.5480557626582054,0.17793686657756913
