Gene,Length,RPF,mRNA,TE
YBL040C,219,150.38,125.4,1.19920255183413
YBL041W,241,394.77,287.94,1.37101479474891
YBL042C,639,52.38,79.95,0.65515947467167
YBL045C,457,128.56,121.69,1.05645492645246
YBL046W,441,28.08,24.89,1.12816392125352
YBL047C,1381,135.15,170.63,0.792064701400692
YBL050W,292,202.71,137.87,1.47029810691231
YBL051C,668,77.82,97.1,0.801441812564367
YBL052C,831,5.66,38.97,0.145239928149859
YBL054W,525,29.45,32.53,0.905318167845066
YBL055C,418,25.58,43.92,0.582422586520947
YBL056W,468,125.77,217.37,0.578598702672862
YBL057C,208,85.41,103.87,0.822277847309136
YBL058W,423,200.82,173.47,1.15766414942065
YBL059CA,109,103.72,85.79,1.20899871779928
YBL059W,193,17.46,22.95,0.76078431372549
YBL060W,687,10.17,17.26,0.589223638470452
YBL061C,696,40.11,69.23,0.579373104145602
YBL063W,1111,8.86,24.72,0.358414239482201
YBL064C,261,132.34,116.34,1.13752793536187
YBL066C,1148,5.1,17.83,0.286034772854739
YBL067C,747,21.72,71.68,0.303013392857143
YBL068W,326,91.66,101.9,0.899509322865554
YBL069W,429,50.64,44.74,1.1318730442557
YBL071WA,82,166.8,112.23,1.48623362737236
YBL074C,355,18.18,28.42,0.639690358902182
YBL076C,1072,484.32,786.07,0.616128334626687
YBL078C,117,54.38,29.02,1.87388008270159
YBL079W,1502,34.2,102.76,0.332814324639938
YBL080C,541,8.61,16.56,0.519927536231884
YBL082C,458,30.63,55.02,0.556706652126499
YBL085W,980,27.58,52.08,0.529569892473118
YBL086C,466,19.65,21.23,0.925577013659915
YBL088C,2787,1.59,20.5,0.0775609756097561
YBL089W,459,18.07,25.63,0.705033164260632
YBL090W,177,84.23,66.73,1.2622508616814
YBL091C,421,181.94,172.9,1.05228455754772
YBL091CA,175,36.32,29.53,1.22993565865222
YBL092W,130,9582.88,6165.91,1.55417124155234
YBL093C,220,85.08,76.73,1.1088231460967
YBL095W,270,8.64,42.65,0.202579132473623
YBL097W,754,18.34,27.15,0.675506445672192
YBL098W,460,31.23,38.3,0.815404699738904
YBL099W,545,560.29,480.23,1.16671178393686
YBL101C,1117,15.97,39.7,0.402267002518892
YBL102W,215,95.5,115.37,0.827771517725579
YBL103C,486,21.92,25.01,0.876449420231907
YBL104C,1038,11.63,33.33,0.348934893489349
YBL105C,1151,25.76,57.94,0.444597859855022
YBL106C,1010,7.83,23.19,0.33764553686934
YBL107C,196,42.15,49.72,0.847747385358005
YBR001C,780,26.04,50.73,0.513305736250739
YBR002C,286,40.3,53.17,0.757946210268949
YBR003W,473,28.52,54.21,0.526102195166943
YBR004C,433,20.23,31.37,0.644883646796302
YBR005W,213,16.09,23.8,0.676050420168067
YBR006W,497,18.97,19.41,0.977331272539928
YBR007C,736,11.01,19.79,0.556341586659929
YBR011C,287,2665.54,1719.62,1.55007501657343
YBR013C,129,26.32,42.35,0.621487603305785
YBR014C,203,124.38,86.55,1.4370883882149
YBR015C,597,117.01,165.86,0.705474496563367
YBR016W,128,359.39,129.96,2.76538935056941
YBR017C,918,81.31,135.64,0.59945443821881494
YBR021W,633,10.96,17.65,0.620963172804533
YBR022W,177,58.42,45.04,1.29706927175844
YBR023C,1165,35.34,79.04,0.447115384615385
YBR024W,301,25.55,23.05,1.10845986984816
YBR025C,394,1057.4,904.49,1.16905659542947
YBR026C,380,99.9,78.23,1.27700370701777
YBR028C,525,27.36,50.9,0.537524557956778
YBR029C,457,74.22,98.22,0.755650580329872
YBR030W,552,13.8,35.13,0.392826643894108
YBR034C,348,161.98,172.39,0.939613666686003
YBR035C,228,306.82,207.44,1.47907828769765
YBR036C,410,118.82,132.28,0.898246144541881
YBR037C,295,42.17,40.71,1.03586342422009
YBR038W,963,53.09,71.24,0.74522740033689
YBR039W,311,259.08,203.82,1.27112157786282
YBR041W,669,42.4,72.17,0.587501732021616
YBR042C,397,33.29,60.37,0.551432830876263
YBR043C,689,5.67,26.79,0.211646136618141
YBR044C,572,8.89,27.88,0.318866571018651
YBR046C,334,81.86,52.01,1.57392809075178
YBR047W,175,17.85,18.56,0.961745689655173
YBR049C,810,87.3,95.57,0.913466569007011
YBR052C,210,230.72,187.96,1.22749521174718
YBR053C,358,85.15,58.98,1.44370973211258
YBR054W,344,51.08,46.93,1.0884295759642
YBR055C,899,14.93,39.91,0.374091706339263
YBR056W,501,56.91,72.59,0.783992285438766
YBR057C,366,28.02,30.66,0.913894324853229
YBR058C,781,44.08,61.57,0.715933084294299
YBR058CA,80,343.31,185.17,1.85402603013447
YBR059C,1108,43.8,76,0.576315789473684
YBR060C,620,20.89,41.52,0.503131021194605
YBR061C,310,74.43,58.74,1.26710929519918
YBR062C,180,72.93,51.4,1.41887159533074
YBR065C,364,19.58,36.64,0.53438864628821
YBR066C,220,58.19,48.1,1.20977130977131
YBR067C,210,485.68,225.69,2.15197837742036
YBR068C,609,189.05,277.84,0.680427584221135
YBR069C,619,160.06,270.96,0.590714496604665
YBR070C,237,33.32,48.59,0.685737806132949
YBR071W,211,81.16,48.98,1.65700285830951
YBR072W,214,101.12,58.64,1.72442019099591
YBR073W,958,32.54,79.83,0.407616184391833
YBR074W,976,46,84.92,0.54168629298163
YBR077C,162,80.51,70.18,1.14719293245939
YBR078W,429,1864.88,1212.94,1.5374874272429
YBR079C,964,260.78,326.79,0.798004834909269
YBR080C,758,109.25,111.22,0.982287358388779
YBR081C,1332,18.21,43.38,0.419778699861687
YBR082C,148,1234,511.11,2.4143530746806
YBR083W,486,49.9,53.37,0.93498219973768
YBR084W,975,153.68,266.87,0.57586090605913
YBR085CA,85,335.23,203.23,1.64951040692811
YBR085W,307,23.95,23.57,1.01612218922359
YBR086C,946,83.76,173.5,0.482766570605187
YBR087W,354,51.3,59.92,0.856141522029372
YBR088C,258,279.53,176.64,1.58248414855072
YBR091C,109,77.21,62.31,1.23912694591558
YBR094W,753,32.28,44.71,0.721986132856184
YBR095C,430,24.56,33.99,0.722565460429538
YBR096W,230,139.64,153.21,0.911428757913974
YBR097W,1454,8.27,26.88,0.30766369047619
YBR098W,691,6.34,13.46,0.471025260029718
YBR101C,290,117.92,105.05,1.12251308900524
YBR102C,753,29.11,39.35,0.739771283354511
YBR103W,535,22.51,34.59,0.650766117374964
YBR104W,329,43.94,45.03,0.975793915167666
YBR105C,362,21.48,31,0.692903225806452
YBR106W,188,1217.17,1163.63,1.04601118912369
YBR107C,245,6.69,20.89,0.320248922929631
YBR108W,947,17.81,21.52,0.827602230483271
YBR109C,147,739.41,403.77,1.8312653243183
YBR110W,449,38.99,66.1,0.589863842662632
YBR111C,231,208.09,187.49,1.10987252653475
YBR111WA,96,101.03,86.64,1.16608956602031
YBR114W,790,7.35,17.63,0.416903006239365
YBR115C,1392,90.97,118.8,0.765740740740741
YBR119W,298,28.03,31.05,0.902737520128824
YBR120C,162,50.43,38.28,1.31739811912226
YBR121C,667,631.15,714.69,0.883110159649638
YBR122C,177,98.98,94.54,1.04696424793738
YBR123C,649,23.67,31.17,0.759384023099134
YBR125C,393,29.79,47.96,0.621142618849041
YBR126C,495,312.37,206.8,1.51049323017408
YBR127C,517,1125.03,1018.95,1.10410716914471
YBR128C,344,2.83,5.72,0.494755244755245
YBR129C,328,24.49,46.81,0.52317880794702
YBR130C,425,48.37,78.98,0.61243352747531
YBR131W,704,8.77,16.99,0.516185991759859
YBR132C,596,18.99,33.86,0.560838747784997
YBR133C,827,19.4,67.84,0.285966981132075
YBR135W,150,119.6,83.34,1.43508519318455
YBR136W,2368,4.14,25.81,0.160402944595118
YBR137W,179,131.43,83.03,1.58292183548115
YBR138C,524,13.69,17.09,0.801053247513166
YBR139W,508,87.15,89.52,0.973525469168901
YBR140C,3092,12.57,63.73,0.197238349286051
YBR141C,337,21.05,21.47,0.980437820214253
YBR142W,773,47.94,71.18,0.673503793200337
YBR143C,437,517.55,490.01,1.05620293463399
YBR145W,351,19.68,23.98,0.820683903252711
YBR146W,278,77.17,92.23,0.836712566410062
YBR148W,609,2.51,4.69,0.535181236673774
YBR149W,344,249.29,208.59,1.19511961263723
YBR151W,316,83.14,116.03,0.716538826165647
YBR152W,291,19.06,22.66,0.841129744042365
YBR153W,244,13.94,28.04,0.497146932952924
YBR154C,215,370.63,233.49,1.58734849458221
YBR155W,385,76.05,62.64,1.21408045977011
YBR156C,698,8.46,18.33,0.461538461538462
YBR157C,255,25.74,38.02,0.677012098895318
YBR158W,549,75.87,240.97,0.314852471261983
YBR159W,347,215.62,218.84,0.985286053737891
YBR160W,298,90.66,67.55,1.34211695040711
YBR161W,376,22.75,31.28,0.72730179028133
YBR162C,455,656.55,590.04,1.112721171446
YBR162WA,65,628.57,383.12,1.64066088953853
YBR163W,585,5.09,31.97,0.159211761025962
YBR164C,183,238.1,156.79,1.51859174692264
YBR165W,277,32.3,28.96,1.11533149171271
YBR166C,452,64.6,55.64,1.16103522645579
YBR167C,140,39.24,32.69,1.20036708473539
YBR168W,413,7.7,24.55,0.313645621181263
YBR169C,693,41.36,53.33,0.775548471779486
YBR170C,580,65.89,70.94,0.928813081477305
YBR171W,206,160.12,144.06,1.11148132722477
YBR172C,740,47.99,60.32,0.795590185676393
YBR173C,148,280.74,124.7,2.25132317562149
YBR175W,315,22.38,35,0.639428571428571
YBR176W,312,35.88,33.13,1.08300633866586
YBR177C,451,85.06,90.03,0.944796179051427
YBR179C,855,21.98,37.88,0.58025343189018
YBR182C,452,2.15,3.81,0.564304461942257
YBR183W,316,14.78,30.84,0.479247730220493
YBR184W,523,4.57,6.96,0.656609195402299
YBR185C,278,44.56,39.48,1.12867274569402
YBR187W,280,158.02,191.24,0.826291570801088
YBR188C,140,47.11,31.29,1.50559284116331
YBR189W,195,6351.14,4449.31,1.4274438058935
YBR192W,377,31.36,39.29,0.798167472639348
YBR193C,223,31.58,36.41,0.867344136226311
YBR194W,123,28.6,38.01,0.752433570113128
YBR195C,422,21.22,26.94,0.787676317743133
YBR196C,554,2748.26,2342.96,1.17298630791819
YBR197C,217,26.42,37.65,0.701726427622842
YBR198C,798,53.73,69.01,0.778582814084915
YBR199W,464,94.64,130.67,0.724267238080661
YBR200W,551,32.83,48.59,0.675653426630994
YBR201W,211,22.02,28.92,0.761410788381743
YBR202W,845,45.79,66.4,0.68960843373494
YBR203W,924,1.11,5.38,0.206319702602231
YBR204C,375,23.7,33.6,0.705357142857143
YBR205W,404,136.16,177.37,0.767660822010486
YBR207W,465,54.24,67.31,0.805823800326846
YBR208C,1835,17.88,47.39,0.377294787929943
YBR210W,142,63.51,66.54,0.954463480613165
YBR211C,324,22.3,26.43,0.843738176314794
YBR212W,672,44.77,48.34,0.926148117501034
YBR213W,274,18.7,16.7,1.11976047904192
YBR214W,527,34.01,28.58,1.18999300209937
YBR215W,625,21.73,24.1,0.901659751037344
YBR216C,674,24.99,37.09,0.673766513885144
YBR217W,186,11.46,24.08,0.475913621262459
YBR220C,560,28.07,58.27,0.481723013557577
YBR221C,366,649.27,617.21,1.05194342282205
YBR222C,543,87.59,92.36,0.948354265915981
YBR223C,544,6.21,15.2,0.408552631578947
YBR225W,900,8.78,19.8,0.443434343434343
YBR227C,520,36.96,40.51,0.912367316711923
YBR228W,304,8.72,22.5,0.387555555555556
YBR229C,954,46.95,82.59,0.568470759171813
YBR230C,134,185.38,124.87,1.48458396732602
YBR230WA,66,65.67,27.59,2.3802102210946
YBR231C,303,23.26,20.79,1.11880711880712
YBR233W,413,28.52,21.93,1.30050159598723
YBR233WA,94,69,52.88,1.30484114977307
YBR234C,384,196.65,181.74,1.08204027731925
YBR235W,1120,11.45,37.44,0.30582264957265
YBR236C,436,44.25,58.47,0.756798358132376
YBR237W,849,7.1,23.54,0.30161427357689
YBR238C,731,18.36,37.43,0.490515629174459
YBR239C,529,5.63,13.86,0.406204906204906
YBR241C,488,16.05,22.39,0.716837874050916
YBR242W,238,57.74,56.25,1.02648888888889
YBR243C,448,49.08,72.72,0.674917491749175
YBR244W,162,221.45,150.38,1.47260273972603
YBR245C,1129,64.57,82.61,0.781624500665779
YBR246W,387,25.43,46.04,0.552345786272806
YBR247C,483,97.6,82.53,1.18260026656973
YBR248C,552,107.73,80.96,1.33065711462451
YBR249C,370,598.74,457.57,1.30852110059663
YBR251W,307,56.45,49.54,1.13948324586193
YBR252W,147,264.76,186.48,1.41977691977692
YBR253W,121,43.91,72.81,0.603076500480703
YBR254C,175,65.2,63.84,1.02130325814536
YBR255CA,120,26.46,26.66,0.992498124531133
YBR255W,694,8.47,19.5,0.434358974358974
YBR256C,238,73.18,116.83,0.626380210562356
YBR257W,279,30.12,29.28,1.02868852459016
YBR258C,142,26.14,15.25,1.71409836065574
YBR259W,688,3.66,18.74,0.195304162219851
YBR260C,666,26.4,45.08,0.585625554569654
YBR261C,232,131.96,117.1,1.1269000853971
YBR262C,106,69.25,89.61,0.772793215042964
YBR263W,490,321.81,355.05,0.906379383185467
YBR264C,199,52.78,50.95,1.03591756624141
YBR265W,320,64.71,72.44,0.893290999447819
YBR267W,393,84.06,68.12,1.23399882560188
YBR268W,105,145.62,96.56,1.50807787903894
YBR269C,138,143.99,90.23,1.59581070597362
YBR271W,419,23.32,35.47,0.657457005920496
YBR272C,480,31.76,40.5,0.784197530864198
YBR273C,436,60.21,53.96,1.11582653817643
YBR274W,527,11.8,31.1,0.379421221864952
YBR275C,1916,11.89,34.81,0.341568514794599
YBR276C,807,7.26,63,0.115238095238095
YBR278W,201,30.07,37.71,0.797401219835587
YBR279W,445,71.63,77.53,0.923900425641687
YBR280C,637,9.59,14.37,0.667362560890745
YBR281C,878,31.4,45.52,0.689806678383128
YBR282W,146,114.8,84.61,1.35681361541189
YBR283C,490,277.58,323.92,0.856939985181526
YBR284W,797,1.14,4.57,0.24945295404814
YBR286W,537,702.53,744.19,0.94401967239549
YBR287W,427,58.31,100.62,0.579507056251242
YBR288C,483,44.33,64.6,0.686222910216718
YBR289W,905,22.67,31.81,0.712668972021377
YBR290W,321,50.92,42.01,1.21209235896215
YBR291C,299,15.39,24.69,0.623329283110571
YBR293W,474,2.84,19.31,0.147074054893837
YBR295W,1216,1.98,16.96,0.116745283018868
YBR296C,574,9.63,11.49,0.838120104438642
YCL001W,188,204.75,179.06,1.14347146207975
YCL002C,263,11.63,49.78,0.233627963037364
YCL004W,521,4.25,15.49,0.274370561652679
YCL005W,256,15.87,32.49,0.488457987072945
YCL005WA,73,563.77,359.34,1.56890410196471
YCL008C,385,17.33,32.34,0.53586889301175
YCL009C,309,448.98,500.59,0.896901656045866
YCL010C,259,33.9,69.36,0.488754325259516
YCL011C,427,119.75,177.04,0.676400813375508
YCL012C,134,35.83,38.2,0.937958115183246
YCL014W,1636,22.19,51.98,0.426894959599846
YCL016C,380,17.78,19.43,0.915079773546063
YCL017C,497,134.14,144.18,0.930364821750589
YCL024W,1037,8.5,26.34,0.322703113135915
YCL025C,633,26.4,32.58,0.810313075506446
YCL026CB,193,25.61,13.26,1.93137254901961
YCL027W,512,13.72,17.49,0.784448256146369
YCL028W,405,289.57,150.81,1.92009813672833
YCL029C,440,28.08,33.44,0.839712918660287
YCL030C,799,298.2,317.71,0.938591797551226
YCL031C,297,101.07,121.8,0.829802955665025
YCL032W,346,20.8,27.59,0.753896339253353
YCL033C,168,95.72,71.19,1.34457086669476
YCL034W,354,80.93,91.48,0.884674245736773
YCL035C,110,589.18,255.92,2.30220381369178
YCL036W,566,12.42,29.74,0.417619367854741
YCL037C,434,464.27,289.73,1.60242294550098
YCL038C,528,15.47,27.22,0.568332108743571
YCL039W,745,12.68,20.35,0.623095823095823
YCL043C,522,1018.44,937.45,1.08639394101019
YCL044C,417,30.19,25.73,1.17333851535173
YCL045C,760,149.68,183.91,0.813876352563754
YCL047C,258,39.53,38.15,1.03617300131062
YCL049C,312,20.35,23.82,0.854324097397145
YCL050C,321,428.59,224.61,1.90815190775121
YCL051W,583,13.06,27.6,0.473188405797101
YCL052C,416,28.36,43.65,0.64971363115693
YCL054W,841,90.99,92.75,0.981024258760108
YCL055W,335,46.49,41.87,1.11034153331741
YCL056C,144,7.42,16.75,0.442985074626866
YCL057CA,97,368.91,180.62,2.04246484331746
YCL057W,712,97.89,144.67,0.676643395313472
YCL058WA,113,78.21,20.91,3.7403156384505
YCL059C,316,185.1,164.62,1.12440772688616
YCL061C,1096,16.87,33.27,0.507063420498948
YCL063W,423,20.89,36.42,0.573585941790225
YCL064C,360,586.41,406.85,1.44134201794273
YCR002C,322,142,118.15,1.20186203977994
YCR003W,183,57.82,43.03,1.34371368812456
YCR004C,247,384.52,257.43,1.49368760439731
YCR005C,460,90.61,109.34,0.82869946954454
YCR007C,239,4.66,12.97,0.35929067077872
YCR008W,603,29.34,113.12,0.259370579915134
YCR009C,265,222.2,191.66,1.15934467285819
YCR011C,1049,68.79,106.73,0.644523564133796
YCR012W,416,14239.95,10868.99,1.31014473285926
YCR015C,317,14.92,23.91,0.62400669176077
YCR016W,290,82.82,60.76,1.36306780776827
YCR017C,953,59.32,133.44,0.444544364508393
YCR018C,221,26.91,47.88,0.56203007518797
YCR019W,363,14.12,24,0.588333333333333
YCR020CA,88,86.14,83.89,1.02682083681011
YCR020WB,78,85.39,50.48,1.69156101426307
YCR021C,332,5.56,7.12,0.780898876404494
YCR023C,611,11.99,42.37,0.282983242860515
YCR024C,492,8.11,13.5,0.600740740740741
YCR024CA,40,4552.35,2244.21,2.0284866389509
YCR024CB,88,0.59,1026.81,5.74595105228815e-4
YCR026C,742,22.42,38.14,0.587834294703723
YCR027C,209,24.83,31.08,0.798906048906049
YCR028C,512,24.93,41.14,0.605979581915411
YCR028CA,135,717.69,322.63,2.22449865170629
YCR030C,870,42.36,52.33,0.809478310720428
YCR032W,2167,4.23,26.1,0.162068965517241
YCR033W,1226,15.01,50.66,0.296288985392815
YCR034W,347,214.61,234.02,0.917058371079395
YCR035C,394,62.19,62.58,0.993767976989454
YCR036W,333,68.78,75.52,0.910752118644068
YCR037C,923,7.95,36.15,0.219917012448133
YCR042C,1407,24.38,41.17,0.592178770949721
YCR043C,127,163.81,156.56,1.04630812468063
YCR044C,357,46.82,76.65,0.610828440965427
YCR046C,169,97.38,100.18,0.972050309443003
YCR047C,275,89.69,56.02,1.60103534451981
YCR048W,610,47.98,84.8,0.565801886792453
YCR051W,222,186.08,152.08,1.22356654392425
YCR052W,483,71.44,90.99,0.785141224310364
YCR053W,514,629.82,504.79,1.2476871570356
YCR054C,563,21.22,26.92,0.788261515601783
YCR057C,923,65.73,104.19,0.630866685862367
YCR059C,258,44.55,80.88,0.550816023738872
YCR060W,111,78.86,82.03,0.961355601609167
YCR061W,631,74.14,59.35,1.24919966301601
YCR063W,157,25.5,24.14,1.05633802816901
YCR065W,564,35.6,59.25,0.60084388185654
YCR066W,487,6.45,10.31,0.62560620756547
YCR067C,1065,44.03,64.23,0.685505215631325
YCR068W,520,14.04,32.94,0.426229508196721
YCR069W,318,78.42,97.19,0.806873135096203
YCR071C,146,74.95,67.08,1.11732259988074
YCR072C,515,67.8,59.15,1.14623837700761
YCR073C,1331,2.07,12.02,0.172212978369384
YCR073WA,315,81.39,72.18,1.12759767248545
YCR075C,260,19.49,34.45,0.565747460087083
YCR075WA,75,103.32,69.56,1.48533640023002
YCR076C,250,34.05,32.48,1.04833743842365
YCR077C,796,93.35,123.41,0.756421683818167
YCR079W,442,4.03,17.59,0.229107447413303
YCR081W,1427,9.09,29.25,0.310769230769231
YCR082W,128,175.59,248.77,0.705832696868594
YCR083W,127,103.31,105.41,0.980077791480884
YCR084C,713,130.08,183.33,0.709540173457699
YCR086W,190,40.85,25.9,1.57722007722008
YCR087CA,153,174.34,110.65,1.57559873474921
YCR088W,592,427.04,253.14,1.68697163624872
YCR089W,1609,1.52,12.91,0.117738187451588
YCR090C,182,110.68,118.17,0.936616738596937
YCR091W,720,4.69,9.02,0.519955654101996
YCR092C,1018,14.94,26.69,0.559760209816411
YCR093W,2108,58.41,139.22,0.41955178853613
YCR094W,391,48.25,68.1,0.708516886930984
YCR095C,362,20.37,36.16,0.563329646017699
YCR097W,126,116.93,132.41,0.883090401027113
YCR106W,832,3.58,18.99,0.188520273828331
YDL001W,430,23.63,24.95,0.947094188376754
YDL002C,203,68.68,51.4,1.33618677042802
YDL003W,566,54.88,53.74,1.02121324897655
YDL004W,160,360.07,248.23,1.45054989324417
YDL005C,431,29.69,44.31,0.670051907018732
YDL006W,281,47.15,52.72,0.894347496206373
YDL007W,437,267.63,192.02,1.39376106655557
YDL008W,165,47.67,59.65,0.799161777032691
YDL010W,231,55.39,42.4,1.3063679245283
YDL012C,107,215.99,73.13,2.95350745248188
YDL013W,619,14.89,29.58,0.503380662609872
YDL014W,327,1115.15,583.66,1.91061576945482
YDL015C,310,271.56,243.38,1.11578601364122
YDL017W,507,14.62,18.15,0.805509641873278
YDL018C,225,62.23,68.46,0.908997955010225
YDL019C,1283,34.66,67.09,0.516619466388433
YDL020C,531,66.55,90.64,0.734223300970874
YDL021W,311,21.5,23.26,0.924333619948409
YDL022W,391,390.7,235.25,1.66078639744952
YDL025C,620,13.1,29.37,0.446033367381682
YDL027C,420,11.12,26.83,0.414461423779351
YDL028C,764,13.37,31.63,0.422699968384445
YDL029W,391,227.51,275.66,0.825328302981934
YDL030W,530,18.67,25.35,0.736489151873767
YDL031W,995,73.24,99.77,0.734088403327654
YDL033C,417,7.43,20.65,0.359806295399516
YDL035C,961,14.62,47.12,0.310271646859083
YDL036C,462,17.01,33.24,0.51173285198556
YDL040C,854,133.23,183.38,0.726524157487185
YDL042C,562,18.75,30.83,0.60817385663315
YDL043C,266,45.94,30.53,1.50474942679332
YDL044C,440,17.02,20.58,0.827016520894072
YDL045C,306,27.67,30.88,0.896049222797928
YDL045WA,95,137.49,91.7,1.49934569247546
YDL046W,173,258.34,187.47,1.37803381874433
YDL047W,311,79.25,84.19,0.941323197529398
YDL048C,490,2.21,3.41,0.648093841642229
YDL051W,275,318.98,314.44,1.01443836662002
YDL052C,303,130.8,157.23,0.83190230871971
YDL053C,185,139,104.55,1.32950741272119
YDL054C,486,21.42,26.84,0.79806259314456
YDL055C,361,2367.64,1829.69,1.29401155386978
YDL056W,833,18.46,34.33,0.537722108942616
YDL057W,328,14.4,15.3,0.941176470588235
YDL058W,1790,43.63,86.8,0.502649769585254
YDL059C,238,13.01,15.92,0.817211055276382
YDL060W,788,70.19,88.44,0.793645409317051
YDL063C,620,45.12,76.52,0.589649764767381
YDL064W,157,236.59,178.05,1.32878404942432
YDL065C,342,87.96,54.83,1.60423126025898
YDL066W,428,349.08,376.01,0.928379564373288
YDL067C,59,518.98,213.54,2.4303643345509
YDL069C,229,6.45,15.26,0.422673656618611
YDL070W,638,63.08,134.61,0.468613030235495
YDL072C,203,230.41,216.26,1.06543050032368
