Gene,FEcap,uATG,utr,gc
YAL059W,NA,FALSE,NA,NA
YAL060W,NA,FALSE,NA,NA
YAL061W,NA,FALSE,NA,NA
YAR002CA,NA,FALSE,NA,NA
YAR002W,-3.9,TRUE,43,0.372093023255814
YAR003W,-11.5,TRUE,86,0.383720930232558
YAR007C,NA,FALSE,NA,NA
YAR008W,NA,FALSE,NA,NA
YAR014C,-11.8,TRUE,151,0.357615894039735
YAR015W,-12.6,TRUE,104,0.336538461538462
YAR018C,NA,FALSE,NA,NA
YAR019C,-10.3,TRUE,34,0.382352941176471
YAR027W,NA,FALSE,NA,NA
YAR028W,NA,FALSE,NA,NA
YAR035W,NA,FALSE,NA,NA
YAR042W,NA,FALSE,NA,NA
YBL001C,-9.2,TRUE,62,0.403225806451613
YBL002W,-2.8,TRUE,24,0.333333333333333
YBL004W,NA,FALSE,NA,NA
YBL005W,NA,FALSE,NA,NA
YBL006C,NA,FALSE,NA,NA
YBL007C,-11.9,TRUE,50,0.42
YBL008W,NA,FALSE,NA,NA
YBL009W,-10.5,TRUE,38,0.394736842105263
YBL010C,-14.4,TRUE,3,0.666666666666667
YBL011W,-9.7,TRUE,102,0.343137254901961
YBL013W,-3.5,TRUE,67,0.388059701492537
YBL014C,NA,FALSE,NA,NA
YBL015W,-4.3,TRUE,93,0.354838709677419
YBL016W,NA,FALSE,NA,NA
YBL017C,NA,FALSE,NA,NA
YBL018C,-9.6,TRUE,34,0.382352941176471
YBL019W,-13.3,TRUE,33,0.393939393939394
YBL020W,-9.5,TRUE,56,0.392857142857143
YBL021C,-7.1,TRUE,48,0.395833333333333
YBL022C,-11.9,TRUE,120,0.358333333333333
YBL023C,NA,FALSE,NA,NA
YBL024W,NA,FALSE,NA,NA
YBL025W,-5.1,TRUE,49,0.408163265306122
YBL026W,NA,FALSE,NA,NA
YBL028C,-6.9,TRUE,28,0.392857142857143
YBL029CA,-7.6,TRUE,118,0.355932203389831
YBL029W,NA,FALSE,NA,NA
YBL030C,-3.9,TRUE,141,0.354609929078014
YBL031W,-9.8,TRUE,31,0.419354838709677
YBL032W,NA,FALSE,NA,NA
YBL033C,-1.5,TRUE,29,0.379310344827586
YBL034C,NA,FALSE,NA,NA
YBL035C,NA,FALSE,NA,NA
YBL036C,-6.2,TRUE,17,0.294117647058824
YBL037W,NA,FALSE,NA,NA
YBL038W,-10.2,TRUE,75,0.373333333333333
YBL039C,NA,FALSE,NA,NA
YBL040C,-7.4,TRUE,29,0.379310344827586
YBL041W,-8,TRUE,32,0.40625
YBL042C,-6.4,TRUE,57,0.385964912280702
YBL045C,-8,TRUE,98,0.357142857142857
YBL046W,-8.5,TRUE,9,0.555555555555556
YBL047C,NA,FALSE,NA,NA
YBL050W,-7.2,TRUE,68,0.382352941176471
YBL051C,-8.6,TRUE,64,0.40625
YBL052C,NA,FALSE,NA,NA
YBL054W,NA,FALSE,NA,NA
YBL055C,NA,FALSE,NA,NA
YBL056W,NA,FALSE,NA,NA
YBL057C,NA,FALSE,NA,NA
YBL058W,-9.3,TRUE,42,0.380952380952381
YBL059CA,NA,FALSE,NA,NA
YBL059W,NA,FALSE,NA,NA
YBL060W,NA,FALSE,NA,NA
YBL061C,-8.6,TRUE,101,0.346534653465347
YBL063W,-10.5,TRUE,18,0.277777777777778
YBL064C,-8.8,TRUE,13,0.384615384615385
YBL066C,-11.6,TRUE,68,0.382352941176471
YBL067C,-8.9,TRUE,268,0.369402985074627
YBL068W,NA,FALSE,NA,NA
YBL069W,NA,FALSE,NA,NA
YBL071WA,-4.6,TRUE,44,0.363636363636364
YBL074C,-9.2,TRUE,15,0.333333333333333
YBL076C,-9.3,TRUE,18,0.277777777777778
YBL078C,NA,FALSE,NA,NA
YBL079W,-9.7,TRUE,95,0.357894736842105
YBL080C,-12,TRUE,17,0.294117647058824
YBL082C,NA,FALSE,NA,NA
YBL085W,-4.3,TRUE,209,0.382775119617225
YBL086C,NA,FALSE,NA,NA
YBL088C,NA,FALSE,NA,NA
YBL089W,NA,FALSE,NA,NA
YBL090W,-6.3,TRUE,32,0.40625
YBL091C,-8.6,TRUE,32,0.40625
YBL091CA,-10.9,TRUE,14,0.357142857142857
YBL092W,-5.6,TRUE,366,0.407103825136612
YBL093C,-5.7,TRUE,81,0.37037037037037
YBL095W,-7.4,TRUE,45,0.377777777777778
YBL097W,NA,FALSE,NA,NA
YBL098W,-11.8,TRUE,31,0.419354838709677
YBL099W,NA,FALSE,NA,NA
YBL101C,NA,FALSE,NA,NA
YBL102W,-13,TRUE,107,0.327102803738318
YBL103C,NA,FALSE,NA,NA
YBL104C,-10.8,TRUE,26,0.384615384615385
YBL105C,NA,FALSE,NA,NA
YBL106C,NA,FALSE,NA,NA
YBL107C,-7.9,TRUE,1,1
YBR001C,NA,FALSE,NA,NA
YBR002C,-10.3,TRUE,1,1
YBR003W,-14.7,TRUE,30,0.4
YBR004C,-6.6,TRUE,17,0.294117647058824
YBR005W,-5.8,TRUE,36,0.416666666666667
YBR006W,NA,FALSE,NA,NA
YBR007C,NA,FALSE,NA,NA
YBR011C,-4.2,TRUE,32,0.40625
YBR013C,NA,FALSE,NA,NA
YBR014C,NA,FALSE,NA,NA
YBR015C,-9.4,TRUE,94,0.361702127659574
YBR016W,NA,FALSE,NA,NA
YBR017C,NA,FALSE,NA,NA
YBR021W,NA,FALSE,NA,NA
YBR022W,-4.3,TRUE,15,0.333333333333333
YBR023C,NA,FALSE,NA,NA
YBR024W,NA,FALSE,NA,NA
YBR025C,-4.8,TRUE,22,0.363636363636364
YBR026C,-3.2,TRUE,4,0.75
YBR028C,-8.6,TRUE,101,0.346534653465347
YBR029C,-8.8,TRUE,81,0.37037037037037
YBR030W,-12.7,TRUE,90,0.366666666666667
YBR034C,-4.7,TRUE,30,0.4
YBR035C,-8,TRUE,28,0.392857142857143
YBR036C,NA,FALSE,NA,NA
YBR037C,NA,FALSE,NA,NA
YBR038W,-7.2,TRUE,38,0.394736842105263
YBR039W,-9,TRUE,88,0.375
YBR041W,-3.6,TRUE,54,0.407407407407407
YBR042C,NA,FALSE,NA,NA
YBR043C,-8.3,TRUE,150,0.353333333333333
YBR044C,NA,FALSE,NA,NA
YBR046C,-1.6,TRUE,32,0.40625
YBR047W,-7.4,TRUE,54,0.407407407407407
YBR049C,-4.8,TRUE,150,0.353333333333333
YBR052C,-0.3,TRUE,65,0.4
YBR053C,-10.4,TRUE,13,0.384615384615385
YBR054W,-1.5,TRUE,315,0.393650793650794
YBR055C,NA,FALSE,NA,NA
YBR056W,-2.2,TRUE,38,0.394736842105263
YBR057C,NA,FALSE,NA,NA
YBR058C,-7.4,TRUE,23,0.347826086956522
YBR058CA,-3.5,TRUE,45,0.377777777777778
YBR059C,-9.1,TRUE,151,0.357615894039735
YBR060C,NA,FALSE,NA,NA
YBR061C,-2.9,TRUE,8,0.625
YBR062C,NA,FALSE,NA,NA
YBR065C,-3.6,TRUE,32,0.40625
YBR066C,NA,FALSE,NA,NA
YBR067C,NA,FALSE,NA,NA
YBR068C,-14.4,TRUE,15,0.333333333333333
YBR069C,-11,TRUE,106,0.330188679245283
YBR070C,-13.9,TRUE,22,0.363636363636364
YBR071W,-3.5,TRUE,73,0.383561643835616
YBR072W,-2.8,TRUE,75,0.373333333333333
YBR073W,NA,FALSE,NA,NA
YBR074W,-8.2,TRUE,6,0.666666666666667
YBR077C,NA,FALSE,NA,NA
YBR078W,-3.5,TRUE,177,0.389830508474576
YBR079C,-8.1,TRUE,26,0.384615384615385
YBR080C,-11.3,TRUE,1,1
YBR081C,NA,FALSE,NA,NA
YBR082C,-1.8,TRUE,50,0.42
YBR083W,-7.8,TRUE,34,0.382352941176471
YBR084W,-22.6,TRUE,15,0.333333333333333
YBR085CA,NA,FALSE,NA,NA
YBR085W,NA,FALSE,NA,NA
YBR086C,-12.3,TRUE,304,0.388157894736842
YBR087W,-8,TRUE,12,0.416666666666667
YBR088C,-1.8,TRUE,41,0.390243902439024
YBR091C,-7.2,TRUE,42,0.380952380952381
YBR094W,NA,FALSE,NA,NA
YBR095C,-15.8,TRUE,41,0.390243902439024
YBR096W,-4.3,TRUE,63,0.412698412698413
YBR097W,NA,FALSE,NA,NA
YBR098W,-8.7,TRUE,13,0.384615384615385
YBR101C,-6,TRUE,73,0.383561643835616
YBR102C,-3.9,TRUE,79,0.367088607594937
YBR103W,NA,FALSE,NA,NA
YBR104W,-6.6,TRUE,89,0.370786516853933
YBR105C,-5.9,TRUE,24,0.333333333333333
YBR106W,-0.8,TRUE,40,0.4
YBR107C,NA,FALSE,NA,NA
YBR108W,NA,FALSE,NA,NA
YBR109C,NA,FALSE,NA,NA
YBR110W,NA,FALSE,NA,NA
YBR111C,NA,FALSE,NA,NA
YBR111WA,NA,FALSE,NA,NA
YBR114W,-9.8,TRUE,79,0.367088607594937
YBR115C,NA,FALSE,NA,NA
YBR119W,-3.9,TRUE,38,0.394736842105263
YBR120C,NA,FALSE,NA,NA
YBR121C,-9.8,TRUE,165,0.381818181818182
YBR122C,NA,FALSE,NA,NA
YBR123C,NA,FALSE,NA,NA
YBR125C,-8.9,TRUE,189,0.391534391534392
YBR126C,-8.1,TRUE,108,0.324074074074074
YBR127C,-10,TRUE,65,0.4
YBR128C,NA,FALSE,NA,NA
YBR129C,NA,FALSE,NA,NA
YBR130C,-12,TRUE,61,0.409836065573771
YBR131W,-8.6,TRUE,31,0.419354838709677
YBR132C,NA,FALSE,NA,NA
YBR133C,NA,FALSE,NA,NA
YBR135W,-11.8,TRUE,105,0.333333333333333
YBR136W,NA,FALSE,NA,NA
YBR137W,NA,FALSE,NA,NA
YBR138C,NA,FALSE,NA,NA
YBR139W,NA,FALSE,NA,NA
YBR140C,NA,FALSE,NA,NA
YBR141C,-7.5,TRUE,15,0.333333333333333
YBR142W,-9.4,TRUE,48,0.395833333333333
YBR143C,-2.8,TRUE,37,0.405405405405405
YBR145W,-1.5,TRUE,42,0.380952380952381
YBR146W,-13,TRUE,44,0.363636363636364
YBR148W,NA,FALSE,NA,NA
YBR149W,-6,TRUE,70,0.385714285714286
YBR151W,-9.3,TRUE,147,0.360544217687075
YBR152W,NA,FALSE,NA,NA
YBR153W,NA,FALSE,NA,NA
YBR154C,-6.8,TRUE,92,0.358695652173913
YBR155W,NA,FALSE,NA,NA
YBR156C,-11.7,TRUE,38,0.394736842105263
YBR157C,-9.6,TRUE,830,0.42289156626506
YBR158W,-5.4,TRUE,264,0.371212121212121
YBR159W,-10.7,TRUE,21,0.333333333333333
YBR160W,-5.9,TRUE,79,0.367088607594937
YBR161W,-13.7,TRUE,110,0.327272727272727
YBR162C,-2.1,TRUE,137,0.357664233576642
YBR162WA,-10.7,TRUE,18,0.277777777777778
YBR163W,NA,FALSE,NA,NA
YBR164C,-8.7,TRUE,120,0.358333333333333
YBR165W,-16.3,TRUE,102,0.343137254901961
YBR166C,-6.4,TRUE,53,0.415094339622642
YBR167C,-5.8,TRUE,37,0.405405405405405
YBR168W,NA,FALSE,NA,NA
YBR169C,NA,FALSE,NA,NA
YBR170C,-5.5,TRUE,74,0.378378378378378
YBR171W,-9.2,TRUE,27,0.37037037037037
YBR172C,-9.9,TRUE,112,0.339285714285714
YBR173C,-3.2,TRUE,29,0.379310344827586
YBR175W,NA,FALSE,NA,NA
YBR176W,NA,FALSE,NA,NA
YBR177C,NA,FALSE,NA,NA
YBR179C,-9.5,TRUE,66,0.393939393939394
YBR182C,NA,FALSE,NA,NA
YBR183W,NA,FALSE,NA,NA
YBR184W,NA,FALSE,NA,NA
YBR185C,-8.1,TRUE,30,0.4
YBR187W,-12.7,TRUE,130,0.346153846153846
YBR188C,NA,FALSE,NA,NA
YBR189W,-3.3,TRUE,27,0.37037037037037
YBR192W,-10.8,TRUE,201,0.383084577114428
YBR193C,-8.8,TRUE,8,0.625
YBR194W,NA,FALSE,NA,NA
YBR195C,NA,FALSE,NA,NA
YBR196C,NA,FALSE,NA,NA
YBR197C,-10.1,TRUE,36,0.416666666666667
YBR198C,-4.7,TRUE,79,0.367088607594937
YBR199W,NA,FALSE,NA,NA
YBR200W,-8.6,TRUE,56,0.392857142857143
YBR201W,NA,FALSE,NA,NA
YBR202W,-11.9,TRUE,31,0.419354838709677
YBR203W,NA,FALSE,NA,NA
YBR204C,-10.2,TRUE,63,0.412698412698413
YBR205W,-10.3,TRUE,48,0.395833333333333
YBR207W,-6.9,TRUE,90,0.366666666666667
YBR208C,NA,FALSE,NA,NA
YBR210W,-12.3,TRUE,35,0.4
YBR211C,-13,TRUE,98,0.357142857142857
YBR212W,NA,FALSE,NA,NA
YBR213W,NA,FALSE,NA,NA
YBR214W,NA,FALSE,NA,NA
YBR215W,NA,FALSE,NA,NA
YBR216C,-4.3,TRUE,34,0.382352941176471
YBR217W,NA,FALSE,NA,NA
YBR220C,NA,FALSE,NA,NA
YBR221C,NA,FALSE,NA,NA
YBR222C,NA,FALSE,NA,NA
YBR223C,NA,FALSE,NA,NA
YBR225W,NA,FALSE,NA,NA
YBR227C,NA,FALSE,NA,NA
YBR228W,NA,FALSE,NA,NA
YBR229C,-14.5,TRUE,28,0.392857142857143
YBR230C,-5,TRUE,24,0.333333333333333
YBR230WA,NA,FALSE,NA,NA
YBR231C,-8.7,TRUE,58,0.396551724137931
YBR233W,NA,FALSE,NA,NA
YBR233WA,NA,FALSE,NA,NA
YBR234C,-6.1,TRUE,47,0.382978723404255
YBR235W,-13.2,TRUE,82,0.365853658536585
YBR236C,-4.9,TRUE,39,0.41025641025641
YBR237W,NA,FALSE,NA,NA
YBR238C,-8.5,TRUE,3,0.666666666666667
YBR239C,NA,FALSE,NA,NA
YBR241C,NA,FALSE,NA,NA
YBR242W,-8.8,TRUE,160,0.375
YBR243C,-10.7,TRUE,33,0.393939393939394
YBR244W,NA,FALSE,NA,NA
YBR245C,NA,FALSE,NA,NA
YBR246W,NA,FALSE,NA,NA
YBR247C,-5.3,TRUE,25,0.36
YBR248C,NA,FALSE,NA,NA
YBR249C,NA,FALSE,NA,NA
YBR251W,NA,FALSE,NA,NA
YBR252W,-8.1,TRUE,19,0.263157894736842
YBR253W,NA,FALSE,NA,NA
YBR254C,-15.9,TRUE,15,0.333333333333333
YBR255CA,-7.9,TRUE,25,0.36
YBR255W,NA,FALSE,NA,NA
YBR256C,-11.8,TRUE,9,0.555555555555556
YBR257W,-7.7,TRUE,32,0.40625
YBR258C,-3.6,TRUE,34,0.382352941176471
YBR259W,-11.9,TRUE,50,0.42
YBR260C,-13.4,TRUE,10,0.5
YBR261C,NA,FALSE,NA,NA
YBR262C,-9.2,TRUE,45,0.377777777777778
YBR263W,-7.4,TRUE,41,0.390243902439024
YBR264C,-9.5,TRUE,26,0.384615384615385
YBR265W,NA,FALSE,NA,NA
YBR267W,-13.5,TRUE,10,0.5
YBR268W,-16.9,TRUE,15,0.333333333333333
YBR269C,-8.9,TRUE,22,0.363636363636364
YBR271W,-12,TRUE,18,0.277777777777778
YBR272C,-7.3,TRUE,28,0.392857142857143
YBR273C,-10.8,TRUE,32,0.40625
YBR274W,-13,TRUE,34,0.382352941176471
YBR275C,-7.9,TRUE,115,0.347826086956522
YBR276C,-3,TRUE,96,0.364583333333333
YBR278W,NA,FALSE,NA,NA
YBR279W,-7.5,TRUE,46,0.391304347826087
YBR280C,NA,FALSE,NA,NA
YBR281C,NA,FALSE,NA,NA
YBR282W,-9.2,TRUE,48,0.395833333333333
YBR283C,NA,FALSE,NA,NA
YBR284W,-12,TRUE,13,0.384615384615385
YBR286W,NA,FALSE,NA,NA
YBR287W,-7.3,TRUE,34,0.382352941176471
YBR288C,-4.9,TRUE,42,0.380952380952381
YBR289W,NA,FALSE,NA,NA
YBR290W,NA,FALSE,NA,NA
YBR291C,-5.5,TRUE,37,0.405405405405405
YBR293W,-10.4,TRUE,1046,0.405353728489484
YBR295W,-11,TRUE,41,0.390243902439024
YBR296C,NA,FALSE,NA,NA
YCL001W,-9.1,TRUE,20,0.3
YCL002C,-23.6,TRUE,38,0.394736842105263
YCL004W,-7.3,TRUE,79,0.367088607594937
YCL005W,-10.7,TRUE,47,0.382978723404255
YCL005WA,NA,FALSE,NA,NA
YCL008C,-18,TRUE,12,0.416666666666667
YCL009C,NA,FALSE,NA,NA
YCL010C,-12.3,TRUE,21,0.333333333333333
YCL011C,NA,FALSE,NA,NA
YCL012C,NA,FALSE,NA,NA
YCL014W,-9.4,TRUE,104,0.336538461538462
YCL016C,NA,FALSE,NA,NA
YCL017C,-4.7,TRUE,30,0.4
YCL024W,NA,FALSE,NA,NA
YCL025C,-8.2,TRUE,32,0.40625
YCL026CB,NA,FALSE,NA,NA
YCL027W,NA,FALSE,NA,NA
YCL028W,-10.3,TRUE,33,0.393939393939394
YCL029C,-13.4,TRUE,51,0.411764705882353
YCL030C,NA,FALSE,NA,NA
YCL031C,-7.4,TRUE,52,0.423076923076923
YCL032W,NA,FALSE,NA,NA
YCL033C,NA,FALSE,NA,NA
YCL034W,-7.3,TRUE,30,0.4
YCL035C,NA,FALSE,NA,NA
YCL036W,NA,FALSE,NA,NA
YCL037C,-6.3,TRUE,68,0.382352941176471
YCL038C,NA,FALSE,NA,NA
YCL039W,-5.7,TRUE,29,0.379310344827586
YCL043C,-6.8,TRUE,38,0.394736842105263
YCL044C,NA,FALSE,NA,NA
YCL045C,NA,FALSE,NA,NA
YCL047C,-7.8,TRUE,21,0.333333333333333
YCL049C,NA,FALSE,NA,NA
YCL050C,-1.4,TRUE,63,0.412698412698413
YCL051W,NA,FALSE,NA,NA
YCL052C,NA,FALSE,NA,NA
YCL054W,NA,FALSE,NA,NA
YCL055W,NA,FALSE,NA,NA
YCL056C,NA,FALSE,NA,NA
YCL057CA,-3.8,TRUE,27,0.37037037037037
YCL057W,-12.2,TRUE,4,0.75
YCL058WA,-6.1,TRUE,23,0.347826086956522
YCL059C,-7.2,TRUE,26,0.384615384615385
YCL061C,NA,FALSE,NA,NA
YCL063W,-8.1,TRUE,17,0.294117647058824
YCL064C,-6.3,TRUE,20,0.3
YCR002C,NA,FALSE,NA,NA
YCR003W,-7.2,TRUE,23,0.347826086956522
YCR004C,NA,FALSE,NA,NA
YCR005C,NA,FALSE,NA,NA
YCR007C,NA,FALSE,NA,NA
YCR008W,NA,FALSE,NA,NA
YCR009C,-3.4,TRUE,62,0.403225806451613
YCR011C,-5.3,TRUE,129,0.348837209302326
YCR012W,NA,FALSE,NA,NA
YCR015C,NA,FALSE,NA,NA
YCR016W,NA,FALSE,NA,NA
YCR017C,-11.8,TRUE,30,0.4
YCR018C,NA,FALSE,NA,NA
YCR019W,-4.1,TRUE,116,0.353448275862069
YCR020CA,NA,FALSE,NA,NA
YCR020WB,NA,FALSE,NA,NA
YCR021C,NA,FALSE,NA,NA
YCR023C,-4.9,TRUE,63,0.412698412698413
YCR024C,-11.2,TRUE,20,0.3
YCR024CA,NA,FALSE,NA,NA
YCR024CB,NA,FALSE,NA,NA
YCR026C,-7.7,TRUE,69,0.376811594202899
YCR027C,NA,FALSE,NA,NA
YCR028C,-11.1,TRUE,100,0.35
YCR028CA,NA,FALSE,NA,NA
YCR030C,-8.1,TRUE,100,0.35
YCR032W,NA,FALSE,NA,NA
YCR033W,NA,FALSE,NA,NA
YCR034W,-6.2,TRUE,27,0.37037037037037
YCR035C,-5.7,TRUE,8,0.625
YCR036W,NA,FALSE,NA,NA
YCR037C,NA,FALSE,NA,NA
YCR042C,-9.7,TRUE,24,0.333333333333333
YCR043C,-9.7,TRUE,34,0.382352941176471
YCR044C,-14,TRUE,13,0.384615384615385
YCR046C,-21.4,TRUE,7,0.714285714285714
YCR047C,NA,FALSE,NA,NA
YCR048W,-12.1,TRUE,53,0.415094339622642
YCR051W,-10.9,TRUE,10,0.5
YCR052W,-13.6,TRUE,34,0.382352941176471
YCR053W,-2.6,TRUE,42,0.380952380952381
YCR054C,NA,FALSE,NA,NA
YCR057C,-6,TRUE,63,0.412698412698413
YCR059C,NA,FALSE,NA,NA
YCR060W,-9.5,TRUE,14,0.357142857142857
YCR061W,NA,FALSE,NA,NA
YCR063W,-2.8,TRUE,39,0.41025641025641
YCR065W,NA,FALSE,NA,NA
YCR066W,NA,FALSE,NA,NA
YCR067C,-10.9,TRUE,120,0.358333333333333
YCR068W,NA,FALSE,NA,NA
YCR069W,NA,FALSE,NA,NA
YCR071C,-10.7,TRUE,23,0.347826086956522
YCR072C,NA,FALSE,NA,NA
YCR073C,NA,FALSE,NA,NA
YCR073WA,NA,FALSE,NA,NA
YCR075C,NA,FALSE,NA,NA
YCR075WA,NA,FALSE,NA,NA
YCR076C,NA,FALSE,NA,NA
YCR077C,NA,FALSE,NA,NA
YCR079W,-23.6,TRUE,2,1
YCR081W,NA,FALSE,NA,NA
YCR082W,NA,FALSE,NA,NA
YCR083W,-14,TRUE,36,0.416666666666667
YCR084C,-9.8,TRUE,174,0.385057471264368
YCR086W,NA,FALSE,NA,NA
YCR087CA,NA,FALSE,NA,NA
YCR088W,NA,FALSE,NA,NA
YCR089W,NA,FALSE,NA,NA
YCR090C,NA,FALSE,NA,NA
YCR091W,NA,FALSE,NA,NA
YCR092C,-13,TRUE,37,0.405405405405405
YCR093W,-7.9,TRUE,31,0.419354838709677
YCR094W,-9.7,TRUE,64,0.40625
YCR095C,NA,FALSE,NA,NA
YCR097W,NA,FALSE,NA,NA
YCR106W,-9.7,TRUE,2,1
YDL001W,-6.2,TRUE,79,0.367088607594937
YDL002C,NA,FALSE,NA,NA
YDL003W,NA,FALSE,NA,NA
YDL004W,-10.9,TRUE,44,0.363636363636364
YDL005C,-7.8,TRUE,16,0.3125
YDL006W,NA,FALSE,NA,NA
YDL007W,-5.6,TRUE,23,0.347826086956522
YDL008W,-10.3,TRUE,1,1
YDL010W,NA,FALSE,NA,NA
YDL012C,-3.5,TRUE,18,0.277777777777778
YDL013W,NA,FALSE,NA,NA
YDL014W,NA,FALSE,NA,NA
YDL015C,-5.2,TRUE,54,0.407407407407407
YDL017W,-2.4,TRUE,24,0.333333333333333
YDL018C,NA,FALSE,NA,NA
YDL019C,NA,FALSE,NA,NA
YDL020C,NA,FALSE,NA,NA
YDL021W,NA,FALSE,NA,NA
YDL022W,-2.1,TRUE,66,0.393939393939394
YDL025C,NA,FALSE,NA,NA
YDL027C,NA,FALSE,NA,NA
YDL028C,NA,FALSE,NA,NA
YDL029W,-7,TRUE,21,0.333333333333333
YDL030W,-16.1,TRUE,80,0.375
YDL031W,NA,FALSE,NA,NA
YDL033C,NA,FALSE,NA,NA
YDL035C,NA,FALSE,NA,NA
YDL036C,-8.6,TRUE,30,0.4
YDL040C,-8.2,TRUE,28,0.392857142857143
YDL042C,-8.8,TRUE,61,0.409836065573771
YDL043C,NA,FALSE,NA,NA
YDL044C,-3.6,TRUE,26,0.384615384615385
YDL045C,NA,FALSE,NA,NA
YDL045WA,-6,TRUE,45,0.377777777777778
YDL046W,-6.5,TRUE,96,0.364583333333333
YDL047W,-4.7,TRUE,206,0.378640776699029
YDL048C,-8.6,TRUE,51,0.411764705882353
YDL051W,-2.9,TRUE,24,0.333333333333333
YDL052C,-3.6,TRUE,53,0.415094339622642
YDL053C,NA,FALSE,NA,NA
YDL054C,-2.2,TRUE,61,0.409836065573771
YDL055C,-4,TRUE,150,0.353333333333333
YDL056W,-6.7,TRUE,116,0.353448275862069
YDL057W,-1.7,TRUE,48,0.395833333333333
YDL058W,NA,FALSE,NA,NA
YDL059C,NA,FALSE,NA,NA
YDL060W,-5.2,TRUE,21,0.333333333333333
YDL063C,-8.7,TRUE,47,0.382978723404255
YDL064W,-11.4,TRUE,41,0.390243902439024
YDL065C,-2.3,TRUE,42,0.380952380952381
YDL066W,NA,FALSE,NA,NA
YDL067C,-4.8,TRUE,47,0.382978723404255
YDL069C,NA,FALSE,NA,NA
YDL070W,NA,FALSE,NA,NA
YDL072C,-5.6,TRUE,64,0.40625
YDL073W,-5.2,TRUE,181,0.392265193370166
YDL074C,NA,FALSE,NA,NA
YDL075W,-4.8,TRUE,32,0.40625
YDL076C,NA,FALSE,NA,NA
YDL077C,NA,FALSE,NA,NA
YDL078C,-4.9,TRUE,73,0.383561643835616
YDL080C,-9.9,TRUE,149,0.355704697986577
YDL081C,-6.5,TRUE,75,0.373333333333333
YDL084W,-8,TRUE,117,0.35042735042735
YDL085CA,-5.3,TRUE,60,0.4
YDL086W,-9.7,TRUE,6,0.666666666666667
YDL087C,NA,FALSE,NA,NA
YDL088C,NA,FALSE,NA,NA
YDL089W,-9.5,TRUE,132,0.348484848484849
YDL090C,NA,FALSE,NA,NA
YDL091C,NA,FALSE,NA,NA
YDL092W,-7.9,TRUE,24,0.333333333333333
YDL093W,-15.5,TRUE,30,0.4
YDL095W,-10.4,TRUE,31,0.419354838709677
YDL097C,NA,FALSE,NA,NA
YDL098C,-11.3,TRUE,11,0.454545454545455
YDL099W,NA,FALSE,NA,NA
YDL100C,-4.4,TRUE,37,0.405405405405405
YDL101C,-1.7,TRUE,62,0.403225806451613
YDL102W,NA,FALSE,NA,NA
YDL103C,-5.4,TRUE,20,0.3
YDL104C,NA,FALSE,NA,NA
YDL105W,NA,FALSE,NA,NA
YDL106C,NA,FALSE,NA,NA
YDL107W,NA,FALSE,NA,NA
YDL108W,-13.4,TRUE,24,0.333333333333333
YDL109C,NA,FALSE,NA,NA
YDL110C,NA,FALSE,NA,NA
YDL111C,-12,TRUE,68,0.382352941176471
YDL112W,-9.2,TRUE,46,0.391304347826087
