Gene,Length,RPF,mRNA,TE,FEcap,uATG,utr,gc
YAR028W,234,34.8,37.65,0.924302788844621,NA,FALSE,NA,NA
YAR035W,687,1.41,6.45,0.218604651162791,NA,FALSE,NA,NA
YAR042W,1188,26.06,62.26,0.418567298425956,NA,FALSE,NA,NA
YBL001C,104,377.28,280.62,1.34445157152021,-9.2,TRUE,62,0.403225806451613
YBL002W,131,1829.22,1005.72,1.81881637036153,-2.8,TRUE,24,0.333333333333333
YBL004W,2493,42.94,150.69,0.284955869666202,NA,FALSE,NA,NA
YBL005W,976,8.44,30.05,0.280865224625624,NA,FALSE,NA,NA
YBL006C,180,85.13,103.9,0.81934552454283,NA,FALSE,NA,NA
YBL007C,1244,127.96,192.07,0.666215442286666,-11.9,TRUE,50,0.42
YBL008W,840,14.18,30.82,0.460090850097339,NA,FALSE,NA,NA
YBL009W,676,25.48,33.42,0.762417713943746,-10.5,TRUE,38,0.394736842105263
YBL010C,280,21.77,22.15,0.982844243792325,-14.4,TRUE,3,0.666666666666667
YBL011W,759,31.5,86.24,0.36525974025974,-9.7,TRUE,102,0.343137254901961
YBL013W,401,7.92,11.78,0.6723259762309,-3.5,TRUE,67,0.388059701492537
YBL014C,894,5.62,38.54,0.145822522055008,NA,FALSE,NA,NA
YBL015W,526,36.1,32.09,1.12496104705516,-4.3,TRUE,93,0.354838709677419
YBL016W,353,48.73,49.77,0.979103877838055,NA,FALSE,NA,NA
YBL017C,1579,70.79,121.31,0.583546286373753,NA,FALSE,NA,NA
YBL018C,133,89.59,95.47,0.938409971718865,-9.6,TRUE,34,0.382352941176471
YBL019W,520,6.32,11.83,0.534234995773457,-13.3,TRUE,33,0.393939393939394
YBL020W,574,21.07,53.16,0.396350639578631,-9.5,TRUE,56,0.392857142857143
YBL021C,144,59.03,41.35,1.42756952841596,-7.1,TRUE,48,0.395833333333333
YBL022C,1133,86.38,157.64,0.547957371225577,-11.9,TRUE,120,0.358333333333333
YBL023C,868,38.37,45.47,0.843853089949417,NA,FALSE,NA,NA
YBL024W,684,175.54,171.82,1.02165056454429,NA,FALSE,NA,NA
YBL025W,145,37.53,28.85,1.30086655112652,-5.1,TRUE,49,0.408163265306122
YBL026W,95,282.35,210.33,1.342414301336,NA,FALSE,NA,NA
YBL028C,106,341.25,190.36,1.7926560201723,-6.9,TRUE,28,0.392857142857143
YBL029CA,94,34.95,31.41,1.1127029608405,-7.6,TRUE,118,0.355932203389831
YBL029W,376,3.31,3.01,1.09966777408638,NA,FALSE,NA,NA
YBL030C,318,769.85,462.75,1.66364127498649,-3.9,TRUE,141,0.354609929078014
YBL031W,338,11.16,23.59,0.473081814328105,-9.8,TRUE,31,0.419354838709677
YBL032W,381,193.91,185.75,1.04393001345895,NA,FALSE,NA,NA
YBL033C,345,60.3,46.79,1.28873690959607,-1.5,TRUE,29,0.379310344827586
YBL034C,1513,12.35,29.11,0.424252834077637,NA,FALSE,NA,NA
YBL035C,705,26.96,37,0.728648648648649,NA,FALSE,NA,NA
YBL036C,257,177.86,119.5,1.48836820083682,-6.2,TRUE,17,0.294117647058824
YBL037W,1025,20.02,36.83,0.543578604398588,NA,FALSE,NA,NA
YBL038W,232,73.08,61.09,1.19626780160419,-10.2,TRUE,75,0.373333333333333
YBL039C,579,317,307.45,1.03106196129452,NA,FALSE,NA,NA
YBL040C,219,150.38,125.4,1.19920255183413,-7.4,TRUE,29,0.379310344827586
YBL041W,241,394.77,287.94,1.37101479474891,-8,TRUE,32,0.40625
YBL042C,639,52.38,79.95,0.65515947467167,-6.4,TRUE,57,0.385964912280702
YBL045C,457,128.56,121.69,1.05645492645246,-8,TRUE,98,0.357142857142857
YBL046W,441,28.08,24.89,1.12816392125352,-8.5,TRUE,9,0.555555555555556
YBL047C,1381,135.15,170.63,0.792064701400692,NA,FALSE,NA,NA
YBL050W,292,202.71,137.87,1.47029810691231,-7.2,TRUE,68,0.382352941176471
YBL051C,668,77.82,97.1,0.801441812564367,-8.6,TRUE,64,0.40625
YBL052C,831,5.66,38.97,0.145239928149859,NA,FALSE,NA,NA
YBL054W,525,29.45,32.53,0.905318167845066,NA,FALSE,NA,NA
YBL055C,418,25.58,43.92,0.582422586520947,NA,FALSE,NA,NA
YBL056W,468,125.77,217.37,0.578598702672862,NA,FALSE,NA,NA
YBL057C,208,85.41,103.87,0.822277847309136,NA,FALSE,NA,NA
YBL058W,423,200.82,173.47,1.15766414942065,-9.3,TRUE,42,0.380952380952381
YBL059CA,109,103.72,85.79,1.20899871779928,NA,FALSE,NA,NA
YBL059W,193,17.46,22.95,0.76078431372549,NA,FALSE,NA,NA
YBL060W,687,10.17,17.26,0.589223638470452,NA,FALSE,NA,NA
YBL061C,696,40.11,69.23,0.579373104145602,-8.6,TRUE,101,0.346534653465347
YBL063W,1111,8.86,24.72,0.358414239482201,-10.5,TRUE,18,0.277777777777778
YBL064C,261,132.34,116.34,1.13752793536187,-8.8,TRUE,13,0.384615384615385
YBL066C,1148,5.1,17.83,0.286034772854739,-11.6,TRUE,68,0.382352941176471
YBL067C,747,21.72,71.68,0.303013392857143,-8.9,TRUE,268,0.369402985074627
YBL068W,326,91.66,101.9,0.899509322865554,NA,FALSE,NA,NA
YBL069W,429,50.64,44.74,1.1318730442557,NA,FALSE,NA,NA
YBL071WA,82,166.8,112.23,1.48623362737236,-4.6,TRUE,44,0.363636363636364
YBL074C,355,18.18,28.42,0.639690358902182,-9.2,TRUE,15,0.333333333333333
YBL076C,1072,484.32,786.07,0.616128334626687,-9.3,TRUE,18,0.277777777777778
YBL078C,117,54.38,29.02,1.87388008270159,NA,FALSE,NA,NA
YBL079W,1502,34.2,102.76,0.332814324639938,-9.7,TRUE,95,0.357894736842105
YBL080C,541,8.61,16.56,0.519927536231884,-12,TRUE,17,0.294117647058824
YBL082C,458,30.63,55.02,0.556706652126499,NA,FALSE,NA,NA
YBL085W,980,27.58,52.08,0.529569892473118,-4.3,TRUE,209,0.382775119617225
YBL086C,466,19.65,21.23,0.925577013659915,NA,FALSE,NA,NA
YBL088C,2787,1.59,20.5,0.0775609756097561,NA,FALSE,NA,NA
YBL089W,459,18.07,25.63,0.705033164260632,NA,FALSE,NA,NA
YBL090W,177,84.23,66.73,1.2622508616814,-6.3,TRUE,32,0.40625
YBL091C,421,181.94,172.9,1.05228455754772,-8.6,TRUE,32,0.40625
YBL091CA,175,36.32,29.53,1.22993565865222,-10.9,TRUE,14,0.357142857142857
YBL092W,130,9582.88,6165.91,1.55417124155234,-5.6,TRUE,366,0.407103825136612
YBL093C,220,85.08,76.73,1.1088231460967,-5.7,TRUE,81,0.37037037037037
YBL095W,270,8.64,42.65,0.202579132473623,-7.4,TRUE,45,0.377777777777778
YBL097W,754,18.34,27.15,0.675506445672192,NA,FALSE,NA,NA
YBL098W,460,31.23,38.3,0.815404699738904,-11.8,TRUE,31,0.419354838709677
YBL099W,545,560.29,480.23,1.16671178393686,NA,FALSE,NA,NA
YBL101C,1117,15.97,39.7,0.402267002518892,NA,FALSE,NA,NA
YBL102W,215,95.5,115.37,0.827771517725579,-13,TRUE,107,0.327102803738318
YBL103C,486,21.92,25.01,0.876449420231907,NA,FALSE,NA,NA
YBL104C,1038,11.63,33.33,0.348934893489349,-10.8,TRUE,26,0.384615384615385
YBL105C,1151,25.76,57.94,0.444597859855022,NA,FALSE,NA,NA
YBL106C,1010,7.83,23.19,0.33764553686934,NA,FALSE,NA,NA
YBL107C,196,42.15,49.72,0.847747385358005,-7.9,TRUE,1,1
YBR001C,780,26.04,50.73,0.513305736250739,NA,FALSE,NA,NA
YBR002C,286,40.3,53.17,0.757946210268949,-10.3,TRUE,1,1
YBR003W,473,28.52,54.21,0.526102195166943,-14.7,TRUE,30,0.4
YBR004C,433,20.23,31.37,0.644883646796302,-6.6,TRUE,17,0.294117647058824
YBR005W,213,16.09,23.8,0.676050420168067,-5.8,TRUE,36,0.416666666666667
YBR006W,497,18.97,19.41,0.977331272539928,NA,FALSE,NA,NA
YBR007C,736,11.01,19.79,0.556341586659929,NA,FALSE,NA,NA
YBR011C,287,2665.54,1719.62,1.55007501657343,-4.2,TRUE,32,0.40625
YBR013C,129,26.32,42.35,0.621487603305785,NA,FALSE,NA,NA
YBR014C,203,124.38,86.55,1.4370883882149,NA,FALSE,NA,NA
YBR015C,597,117.01,165.86,0.705474496563367,-9.4,TRUE,94,0.361702127659574
YBR016W,128,359.39,129.96,2.76538935056941,NA,FALSE,NA,NA
YBR017C,918,81.31,135.64,0.599454438218815,NA,FALSE,NA,NA
YBR021W,633,10.96,17.65,0.620963172804533,NA,FALSE,NA,NA
YBR022W,177,58.42,45.04,1.29706927175844,-4.3,TRUE,15,0.333333333333333
YBR023C,1165,35.34,79.04,0.447115384615385,NA,FALSE,NA,NA
YBR024W,301,25.55,23.05,1.10845986984816,NA,FALSE,NA,NA
YBR025C,394,1057.4,904.49,1.16905659542947,-4.8,TRUE,22,0.363636363636364
YBR026C,380,99.9,78.23,1.27700370701777,-3.2,TRUE,4,0.75
YBR028C,525,27.36,50.9,0.537524557956778,-8.6,TRUE,101,0.346534653465347
YBR029C,457,74.22,98.22,0.755650580329872,-8.8,TRUE,81,0.37037037037037
YBR030W,552,13.8,35.13,0.392826643894108,-12.7,TRUE,90,0.366666666666667
YBR034C,348,161.98,172.39,0.939613666686003,-4.7,TRUE,30,0.4
YBR035C,228,306.82,207.44,1.47907828769765,-8,TRUE,28,0.392857142857143
YBR036C,410,118.82,132.28,0.898246144541881,NA,FALSE,NA,NA
YBR037C,295,42.17,40.71,1.03586342422009,NA,FALSE,NA,NA
YBR038W,963,53.09,71.24,0.74522740033689,-7.2,TRUE,38,0.394736842105263
YBR039W,311,259.08,203.82,1.27112157786282,-9,TRUE,88,0.375
YBR041W,669,42.4,72.17,0.587501732021616,-3.6,TRUE,54,0.407407407407407
YBR042C,397,33.29,60.37,0.551432830876263,NA,FALSE,NA,NA
YBR043C,689,5.67,26.79,0.211646136618141,-8.3,TRUE,150,0.353333333333333
YBR044C,572,8.89,27.88,0.318866571018651,NA,FALSE,NA,NA
YBR046C,334,81.86,52.01,1.57392809075178,-1.6,TRUE,32,0.40625
YBR047W,175,17.85,18.56,0.961745689655173,-7.4,TRUE,54,0.407407407407407
YBR049C,810,87.3,95.57,0.913466569007011,-4.8,TRUE,150,0.353333333333333
YBR052C,210,230.72,187.96,1.22749521174718,-0.3,TRUE,65,0.4
YBR053C,358,85.15,58.98,1.44370973211258,-10.4,TRUE,13,0.384615384615385
YBR054W,344,51.08,46.93,1.0884295759642,-1.5,TRUE,315,0.393650793650794
YBR055C,899,14.93,39.91,0.374091706339263,NA,FALSE,NA,NA
YBR056W,501,56.91,72.59,0.783992285438766,-2.2,TRUE,38,0.394736842105263
YBR057C,366,28.02,30.66,0.913894324853229,NA,FALSE,NA,NA
YBR058C,781,44.08,61.57,0.715933084294299,-7.4,TRUE,23,0.347826086956522
YBR058CA,80,343.31,185.17,1.85402603013447,-3.5,TRUE,45,0.377777777777778
YBR059C,1108,43.8,76,0.576315789473684,-9.1,TRUE,151,0.357615894039735
YBR060C,620,20.89,41.52,0.503131021194605,NA,FALSE,NA,NA
YBR061C,310,74.43,58.74,1.26710929519918,-2.9,TRUE,8,0.625
YBR062C,180,72.93,51.4,1.41887159533074,NA,FALSE,NA,NA
YBR065C,364,19.58,36.64,0.53438864628821,-3.6,TRUE,32,0.40625
YBR066C,220,58.19,48.1,1.20977130977131,NA,FALSE,NA,NA
YBR067C,210,485.68,225.69,2.15197837742036,NA,FALSE,NA,NA
YBR068C,609,189.05,277.84,0.680427584221135,-14.4,TRUE,15,0.333333333333333
YBR069C,619,160.06,270.96,0.590714496604665,-11,TRUE,106,0.330188679245283
YBR070C,237,33.32,48.59,0.685737806132949,-13.9,TRUE,22,0.363636363636364
YBR071W,211,81.16,48.98,1.65700285830951,-3.5,TRUE,73,0.383561643835616
YBR072W,214,101.12,58.64,1.72442019099591,-2.8,TRUE,75,0.373333333333333
YBR073W,958,32.54,79.83,0.407616184391833,NA,FALSE,NA,NA
YBR074W,976,46,84.92,0.54168629298163,-8.2,TRUE,6,0.666666666666667
YBR077C,162,80.51,70.18,1.14719293245939,NA,FALSE,NA,NA
YBR078W,429,1864.88,1212.94,1.5374874272429,-3.5,TRUE,177,0.389830508474576
YBR079C,964,260.78,326.79,0.798004834909269,-8.1,TRUE,26,0.384615384615385
YBR080C,758,109.25,111.22,0.982287358388779,-11.3,TRUE,1,1
YBR081C,1332,18.21,43.38,0.419778699861687,NA,FALSE,NA,NA
YBR082C,148,1234,511.11,2.4143530746806,-1.8,TRUE,50,0.42
YBR083W,486,49.9,53.37,0.93498219973768,-7.8,TRUE,34,0.382352941176471
YBR084W,975,153.68,266.87,0.57586090605913,-22.6,TRUE,15,0.333333333333333
YBR085CA,85,335.23,203.23,1.64951040692811,NA,FALSE,NA,NA
YBR085W,307,23.95,23.57,1.01612218922359,NA,FALSE,NA,NA
YBR086C,946,83.76,173.5,0.482766570605187,-12.3,TRUE,304,0.388157894736842
YBR087W,354,51.3,59.92,0.856141522029372,-8,TRUE,12,0.416666666666667
YBR088C,258,279.53,176.64,1.58248414855072,-1.8,TRUE,41,0.390243902439024
YBR091C,109,77.21,62.31,1.23912694591558,-7.2,TRUE,42,0.380952380952381
YBR094W,753,32.28,44.71,0.721986132856184,NA,FALSE,NA,NA
YBR095C,430,24.56,33.99,0.722565460429538,-15.8,TRUE,41,0.390243902439024
YBR096W,230,139.64,153.21,0.911428757913974,-4.3,TRUE,63,0.412698412698413
YBR097W,1454,8.27,26.88,0.30766369047619,NA,FALSE,NA,NA
YBR098W,691,6.34,13.46,0.471025260029718,-8.7,TRUE,13,0.384615384615385
YBR101C,290,117.92,105.05,1.12251308900524,-6,TRUE,73,0.383561643835616
YBR102C,753,29.11,39.35,0.739771283354511,-3.9,TRUE,79,0.367088607594937
YBR103W,535,22.51,34.59,0.650766117374964,NA,FALSE,NA,NA
YBR104W,329,43.94,45.03,0.975793915167666,-6.6,TRUE,89,0.370786516853933
YBR105C,362,21.48,31,0.692903225806452,-5.9,TRUE,24,0.333333333333333
YBR106W,188,1217.17,1163.63,1.04601118912369,-0.8,TRUE,40,0.4
YBR107C,245,6.69,20.89,0.320248922929631,NA,FALSE,NA,NA
YBR108W,947,17.81,21.52,0.827602230483271,NA,FALSE,NA,NA
YBR109C,147,739.41,403.77,1.8312653243183,NA,FALSE,NA,NA
YBR110W,449,38.99,66.1,0.589863842662632,NA,FALSE,NA,NA
YBR111C,231,208.09,187.49,1.10987252653475,NA,FALSE,NA,NA
YBR111WA,96,101.03,86.64,1.16608956602031,NA,FALSE,NA,NA
YBR114W,790,7.35,17.63,0.416903006239365,-9.8,TRUE,79,0.367088607594937
YBR115C,1392,90.97,118.8,0.765740740740741,NA,FALSE,NA,NA
YBR119W,298,28.03,31.05,0.902737520128824,-3.9,TRUE,38,0.394736842105263
YBR120C,162,50.43,38.28,1.31739811912226,NA,FALSE,NA,NA
YBR121C,667,631.15,714.69,0.883110159649638,-9.8,TRUE,165,0.381818181818182
YBR122C,177,98.98,94.54,1.04696424793738,NA,FALSE,NA,NA
YBR123C,649,23.67,31.17,0.759384023099134,NA,FALSE,NA,NA
YBR125C,393,29.79,47.96,0.621142618849041,-8.9,TRUE,189,0.391534391534392
YBR126C,495,312.37,206.8,1.51049323017408,-8.1,TRUE,108,0.324074074074074
YBR127C,517,1125.03,1018.95,1.10410716914471,-10,TRUE,65,0.4
YBR128C,344,2.83,5.72,0.494755244755245,NA,FALSE,NA,NA
YBR129C,328,24.49,46.81,0.52317880794702,NA,FALSE,NA,NA
YBR130C,425,48.37,78.98,0.61243352747531,-12,TRUE,61,0.409836065573771
YBR131W,704,8.77,16.99,0.516185991759859,-8.6,TRUE,31,0.419354838709677
YBR132C,596,18.99,33.86,0.560838747784997,NA,FALSE,NA,NA
YBR133C,827,19.4,67.84,0.285966981132075,NA,FALSE,NA,NA
YBR135W,150,119.6,83.34,1.43508519318455,-11.8,TRUE,105,0.333333333333333
YBR136W,2368,4.14,25.81,0.160402944595118,NA,FALSE,NA,NA
YBR137W,179,131.43,83.03,1.58292183548115,NA,FALSE,NA,NA
YBR138C,524,13.69,17.09,0.801053247513166,NA,FALSE,NA,NA
YBR139W,508,87.15,89.52,0.973525469168901,NA,FALSE,NA,NA
YBR140C,3092,12.57,63.73,0.197238349286051,NA,FALSE,NA,NA
YBR141C,337,21.05,21.47,0.980437820214253,-7.5,TRUE,15,0.333333333333333
YBR142W,773,47.94,71.18,0.673503793200337,-9.4,TRUE,48,0.395833333333333
YBR143C,437,517.55,490.01,1.05620293463399,-2.8,TRUE,37,0.405405405405405
YBR145W,351,19.68,23.98,0.820683903252711,-1.5,TRUE,42,0.380952380952381
YBR146W,278,77.17,92.23,0.836712566410062,-13,TRUE,44,0.363636363636364
YBR148W,609,2.51,4.69,0.535181236673774,NA,FALSE,NA,NA
YBR149W,344,249.29,208.59,1.19511961263723,-6,TRUE,70,0.385714285714286
YBR151W,316,83.14,116.03,0.716538826165647,-9.3,TRUE,147,0.360544217687075
YBR152W,291,19.06,22.66,0.841129744042365,NA,FALSE,NA,NA
YBR153W,244,13.94,28.04,0.497146932952924,NA,FALSE,NA,NA
YBR154C,215,370.63,233.49,1.58734849458221,-6.8,TRUE,92,0.358695652173913
YBR155W,385,76.05,62.64,1.21408045977011,NA,FALSE,NA,NA
YBR156C,698,8.46,18.33,0.461538461538462,-11.7,TRUE,38,0.394736842105263
YBR157C,255,25.74,38.02,0.677012098895318,-9.6,TRUE,830,0.42289156626506
YBR158W,549,75.87,240.97,0.314852471261983,-5.4,TRUE,264,0.371212121212121
YBR159W,347,215.62,218.84,0.985286053737891,-10.7,TRUE,21,0.333333333333333
YBR160W,298,90.66,67.55,1.34211695040711,-5.9,TRUE,79,0.367088607594937
YBR161W,376,22.75,31.28,0.72730179028133,-13.7,TRUE,110,0.327272727272727
YBR162C,455,656.55,590.04,1.112721171446,-2.1,TRUE,137,0.357664233576642
YBR162WA,65,628.57,383.12,1.64066088953853,-10.7,TRUE,18,0.277777777777778
YBR163W,585,5.09,31.97,0.159211761025962,NA,FALSE,NA,NA
YBR164C,183,238.1,156.79,1.51859174692264,-8.7,TRUE,120,0.358333333333333
YBR165W,277,32.3,28.96,1.11533149171271,-16.3,TRUE,102,0.343137254901961
YBR166C,452,64.6,55.64,1.16103522645579,-6.4,TRUE,53,0.415094339622642
YBR167C,140,39.24,32.69,1.20036708473539,-5.8,TRUE,37,0.405405405405405
YBR168W,413,7.7,24.55,0.313645621181263,NA,FALSE,NA,NA
YBR169C,693,41.36,53.33,0.775548471779486,NA,FALSE,NA,NA
YBR170C,580,65.89,70.94,0.928813081477305,-5.5,TRUE,74,0.378378378378378
YBR171W,206,160.12,144.06,1.11148132722477,-9.2,TRUE,27,0.37037037037037
YBR172C,740,47.99,60.32,0.795590185676393,-9.9,TRUE,112,0.339285714285714
YBR173C,148,280.74,124.7,2.25132317562149,-3.2,TRUE,29,0.379310344827586
YBR175W,315,22.38,35,0.639428571428571,NA,FALSE,NA,NA
YBR176W,312,35.88,33.13,1.08300633866586,NA,FALSE,NA,NA
YBR177C,451,85.06,90.03,0.944796179051427,NA,FALSE,NA,NA
YBR179C,855,21.98,37.88,0.58025343189018,-9.5,TRUE,66,0.393939393939394
YBR182C,452,2.15,3.81,0.564304461942257,NA,FALSE,NA,NA
YBR183W,316,14.78,30.84,0.479247730220493,NA,FALSE,NA,NA
YBR184W,523,4.57,6.96,0.656609195402299,NA,FALSE,NA,NA
YBR185C,278,44.56,39.48,1.12867274569402,-8.1,TRUE,30,0.4
YBR187W,280,158.02,191.24,0.826291570801088,-12.7,TRUE,130,0.346153846153846
YBR188C,140,47.11,31.29,1.50559284116331,NA,FALSE,NA,NA
YBR189W,195,6351.14,4449.31,1.4274438058935,-3.3,TRUE,27,0.37037037037037
YBR192W,377,31.36,39.29,0.798167472639348,-10.8,TRUE,201,0.383084577114428
YBR193C,223,31.58,36.41,0.867344136226311,-8.8,TRUE,8,0.625
YBR194W,123,28.6,38.01,0.752433570113128,NA,FALSE,NA,NA
YBR195C,422,21.22,26.94,0.787676317743133,NA,FALSE,NA,NA
YBR196C,554,2748.26,2342.96,1.17298630791819,NA,FALSE,NA,NA
YBR197C,217,26.42,37.65,0.701726427622842,-10.1,TRUE,36,0.416666666666667
YBR198C,798,53.73,69.01,0.778582814084915,-4.7,TRUE,79,0.367088607594937
YBR199W,464,94.64,130.67,0.724267238080661,NA,FALSE,NA,NA
YBR200W,551,32.83,48.59,0.675653426630994,-8.6,TRUE,56,0.392857142857143
YBR201W,211,22.02,28.92,0.761410788381743,NA,FALSE,NA,NA
YBR202W,845,45.79,66.4,0.68960843373494,-11.9,TRUE,31,0.419354838709677
YBR203W,924,1.11,5.38,0.206319702602231,NA,FALSE,NA,NA
YBR204C,375,23.7,33.6,0.705357142857143,-10.2,TRUE,63,0.412698412698413
YBR205W,404,136.16,177.37,0.767660822010486,-10.3,TRUE,48,0.395833333333333
YBR207W,465,54.24,67.31,0.805823800326846,-6.9,TRUE,90,0.366666666666667
YBR208C,1835,17.88,47.39,0.377294787929943,NA,FALSE,NA,NA
YBR210W,142,63.51,66.54,0.954463480613165,-12.3,TRUE,35,0.4
YBR211C,324,22.3,26.43,0.843738176314794,-13,TRUE,98,0.357142857142857
YBR212W,672,44.77,48.34,0.926148117501034,NA,FALSE,NA,NA
YBR213W,274,18.7,16.7,1.11976047904192,NA,FALSE,NA,NA
YBR214W,527,34.01,28.58,1.18999300209937,NA,FALSE,NA,NA
YBR215W,625,21.73,24.1,0.901659751037344,NA,FALSE,NA,NA
YBR216C,674,24.99,37.09,0.673766513885144,-4.3,TRUE,34,0.382352941176471
YBR217W,186,11.46,24.08,0.475913621262459,NA,FALSE,NA,NA
YBR220C,560,28.07,58.27,0.481723013557577,NA,FALSE,NA,NA
YBR221C,366,649.27,617.21,1.05194342282205,NA,FALSE,NA,NA
YBR222C,543,87.59,92.36,0.948354265915981,NA,FALSE,NA,NA
YBR223C,544,6.21,15.2,0.408552631578947,NA,FALSE,NA,NA
YBR225W,900,8.78,19.8,0.443434343434343,NA,FALSE,NA,NA
YBR227C,520,36.96,40.51,0.912367316711923,NA,FALSE,NA,NA
YBR228W,304,8.72,22.5,0.387555555555556,NA,FALSE,NA,NA
YBR229C,954,46.95,82.59,0.568470759171813,-14.5,TRUE,28,0.392857142857143
YBR230C,134,185.38,124.87,1.48458396732602,-5,TRUE,24,0.333333333333333
